OBJECTID,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
17,Al-Barka,PH150709000,NA,NA,NA,Basilan,PH150700000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH,1467244800000,1590710400000,NA
18,Alabat,PH045602000,NA,NA,NA,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH,1467244800000,1590710400000,NA
19,Alabel,PH128001000,NA,NA,NA,Sarangani,PH128000000,Region XII,PH120000000,Philippines (the),PH,1467244800000,1590710400000,NA
20,Alamada,PH124701000,NA,NA,NA,Cotabato,PH124700000,Region XII,PH120000000,Philippines (the),PH,1467244800000,1590710400000,NA
21,Alaminos,PH043401000,NA,NA,NA,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH,1467244800000,1590710400000,NA
22,Alangalang,PH083702000,NA,NA,NA,Leyte,PH083700000,Region VIII,PH080000000,Philippines (the),PH,1467244800000,1590710400000,NA
23,Albuera,PH083703000,NA,NA,NA,Leyte,PH083700000,Region VIII,PH080000000,Philippines (the),PH,1467244800000,1590710400000,NA
24,Alburquerque,PH071201000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH,1467244800000,1590710400000,NA
25,Alcala,PH015504000,NA,NA,NA,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH,1467244800000,1590710400000,NA
26,Alcala,PH021502000,NA,NA,NA,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH,1467244800000,1590710400000,NA
27,Alcantara,PH072201000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH,1467244800000,1590710400000,NA
28,Alcantara,PH175901000,NA,NA,NA,Romblon,PH175900000,Region IV-B,PH170000000,Philippines (the),PH,1467244800000,1590710400000,NA
29,Alcoy,PH072202000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH,1467244800000,1590710400000,NA
30,Alegria,PH072203000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH,1467244800000,1590710400000,NA
31,Alegria,PH166701000,NA,NA,NA,Surigao del Norte,PH166700000,Region XIII,PH160000000,Philippines (the),PH,1467244800000,1590710400000,NA
32,Aleosan,PH124717000,NA,NA,NA,Cotabato,PH124700000,Region XII,PH120000000,Philippines (the),PH,1467244800000,1590710400000,NA
33,Alfonso,PH042101000,NA,NA,NA,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH,1467244800000,1590710400000,NA
34,Alfonso Castaneda,PH025015000,NA,NA,NA,Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH,1467244800000,1590710400000,NA
35,Alfonso Lista,PH142707000,NA,NA,NA,Ifugao,PH142700000,Cordillera Administrative Region,PH140000000,Philippines (the),PH,1467244800000,1590710400000,NA
36,Aliaga,PH034901000,NA,NA,NA,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH,1467244800000,1590710400000,NA
37,Alicia,PH023101000,NA,NA,NA,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH,1467244800000,1590710400000,NA
38,Alicia,PH071202000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH,1467244800000,1590710400000,NA
39,Alicia,PH098301000,NA,NA,NA,Zamboanga Sibugay,PH098300000,Region IX,PH090000000,Philippines (the),PH,1467244800000,1590710400000,NA
40,Alilem,PH012901000,NA,NA,NA,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH,1467244800000,1590710400000,NA
41,Alimodian,PH063002000,NA,NA,NA,Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH,1467244800000,1590710400000,NA
42,Alitagtag,PH041002000,NA,NA,NA,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH,1467244800000,1590710400000,NA
43,Allacapan,PH021503000,NA,NA,NA,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH,1467244800000,1590710400000,NA
44,Allen,PH084801000,NA,NA,NA,Northern Samar,PH084800000,Region VIII,PH080000000,Philippines (the),PH,1467244800000,1590710400000,NA
45,Almagro,PH086001000,NA,NA,NA,Samar,PH086000000,Region VIII,PH080000000,Philippines (the),PH,1467244800000,1590710400000,NA
46,Almeria,PH087801000,NA,NA,NA,Biliran,PH087800000,Region VIII,PH080000000,Philippines (the),PH,1467244800000,1590710400000,NA
47,Aloguinsan,PH072204000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH,1467244800000,1590710400000,NA
48,Aloran,PH104201000,NA,NA,NA,Misamis Occidental,PH104200000,Region X,PH100000000,Philippines (the),PH,1467244800000,1590710400000,NA
49,Altavas,PH060401000,NA,NA,NA,Aklan,PH060400000,Region VI,PH060000000,Philippines (the),PH,1467244800000,1590710400000,NA
50,Alubijid,PH104301000,NA,NA,NA,Misamis Oriental,PH104300000,Region X,PH100000000,Philippines (the),PH,1467244800000,1590710400000,NA
51,Amadeo,PH042102000,NA,NA,NA,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH,1467244800000,1590710400000,NA
52,Ambaguio,PH025001000,NA,NA,NA,Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH,1467244800000,1590710400000,NA
53,Amlan,PH074601000,NA,NA,NA,Negros Oriental,PH074600000,Region VII,PH070000000,Philippines (the),PH,1467244800000,1590710400000,NA
54,Ampatuan,PH153801000,NA,NA,NA,Maguindanao,PH153800000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH,1467244800000,1590710400000,NA
55,Amulung,PH021504000,NA,NA,NA,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH,1467244800000,1590710400000,NA
56,Anahawan,PH086401000,NA,NA,NA,Southern Leyte,PH086400000,Region VIII,PH080000000,Philippines (the),PH,1467244800000,1590710400000,NA
57,Anao,PH036901000,NA,NA,NA,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH,1467244800000,1590710400000,NA
58,Anda,PH015505000,NA,NA,NA,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH,1467244800000,1590710400000,NA
59,Anda,PH071203000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH,1467244800000,1590710400000,NA
60,Angadanan,PH023102000,NA,NA,NA,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH,1467244800000,1590710400000,NA
61,Angat,PH031401000,NA,NA,NA,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH,1467244800000,1590710400000,NA
62,Angeles City,PH035401000,NA,NA,NA,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH,1467244800000,1590710400000,NA
63,Angono,PH045801000,NA,NA,NA,Rizal,PH045800000,Region IV-A,PH040000000,Philippines (the),PH,1467244800000,1590710400000,NA
