OBJECTID,admin0Name_fr,admin0Pcode,admin1Name_fr,admin1Pcode,admin2Name_fr,admin2Pcode,admin3Name_fr,admin3Pcode,admin4Name_fr,admin4Pcode,admin4RefName,admin4AltName1_fr,admin4AltName2_fr,date,validOn,validTo
115,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 5,CF7115,Kolongo II,CF711517,Kolongo II,NA,NA,1427760000000,1434326400000,NA
116,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Fondo (Kalongo III),CF711312,Fondo (Kalongo III),NA,NA,1427760000000,1434326400000,NA
117,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Camerounais Nord,CF711305,Camerounais Nord,NA,NA,1427760000000,1434326400000,NA
118,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 5,CF7115,Bangui Mpoko I,CF711504,Bangui Mpoko I,NA,NA,1427760000000,1434326400000,NA
119,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 5,CF7115,Vara,CF711526,Vara,NA,NA,1427760000000,1434326400000,NA
120,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 5,CF7115,Bondagbi,CF711512,Bondagbi,NA,NA,1427760000000,1434326400000,NA
121,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 5,CF7115,Bangui Mpoko II,CF711505,Bangui Mpoko II,NA,NA,1427760000000,1434326400000,NA
122,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 8,CF7118,Ngongonon II,CF711809,Ngongonon II,NA,NA,1427760000000,1434326400000,NA
123,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Banga Sara II,CF711301,Banga Sara II,NA,NA,1427760000000,1434326400000,NA
124,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 1,CF7111,200 Villas,CF711103,200 Villas,NA,NA,1427760000000,1434326400000,NA
125,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Lakouanga V,CF711214,Lakouanga V,NA,NA,1427760000000,1434326400000,NA
126,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Lakouanga II,CF711211,Lakouanga II,NA,NA,1427760000000,1434326400000,NA
127,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Lakouanga IV,CF711213,Lakouanga IV,NA,NA,1427760000000,1434326400000,NA
128,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Lakouanga II,CF711211,Lakouanga II,NA,NA,1427760000000,1434326400000,NA
