OBJECTID,admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ar,admin2AltName2_ar,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
50,Al Mahfad,المحفد,YE1201,NA,NA,NA,NA,NA,Abyan,ابين,YE12,Yemen,اليمن,YE,1548979200000,1574380800000,NA
51,Al Mahwit,المحويت,YE2709,NA,NA,NA,NA,NA,Al Mahwit,المحويت,YE27,Yemen,اليمن,YE,1548979200000,1574380800000,NA
52,Al Mahwit City,مدينة المحويت,YE2708,NA,NA,NA,NA,NA,Al Mahwit,المحويت,YE27,Yemen,اليمن,YE,1548979200000,1574380800000,NA
53,Al Makha,المخاء,YE1505,NA,NA,NA,NA,NA,Ta'iz,تعز,YE15,Yemen,اليمن,YE,1548979200000,1574380800000,NA
54,Al Makhadir,المخادر,YE1107,NA,NA,NA,NA,NA,Ibb,اب,YE11,Yemen,اليمن,YE,1548979200000,1574380800000,NA
55,Al Malah,الملاح,YE2508,NA,NA,NA,NA,NA,Lahj,لحج,YE25,Yemen,اليمن,YE,1548979200000,1574380800000,NA
56,Al Malajim,الملاجم,YE1420,NA,NA,NA,NA,NA,Al Bayda,البيضاء,YE14,Yemen,اليمن,YE,1548979200000,1574380800000,NA
57,Al Manar,المنار,YE2012,NA,NA,NA,NA,NA,Dhamar,ذمار,YE20,Yemen,اليمن,YE,1548979200000,1574380800000,NA
58,Al Mansurah,المنصوره,YE2403,NA,NA,NA,NA,NA,Aden,عدن,YE24,Yemen,اليمن,YE,1548979200000,1574380800000,NA
59,Al Mansuriyah,المنصوريه,YE1816,NA,NA,NA,NA,NA,Al Hodeidah,الحديده,YE18,Yemen,اليمن,YE,1548979200000,1574380800000,NA
60,Al Maqatirah,المقاطره,YE2512,NA,NA,NA,NA,NA,Lahj,لحج,YE25,Yemen,اليمن,YE,1548979200000,1574380800000,NA
61,Al Marawi'ah,المراوعه,YE1813,Al Marawiah,NA,NA,NA,NA,Al Hodeidah,الحديده,YE18,Yemen,اليمن,YE,1548979200000,1574380800000,NA
62,Al Mashannah,المشنه,YE1118,NA,NA,NA,NA,NA,Ibb,اب,YE11,Yemen,اليمن,YE,1548979200000,1574380800000,NA
63,Al Masilah,المسيله,YE2806,NA,NA,NA,NA,NA,Al Maharah,المهره,YE28,Yemen,اليمن,YE,1548979200000,1574380800000,NA
64,Al Maslub,المصلوب,YE1607,NA,NA,NA,NA,NA,Al Jawf,الجوف,YE16,Yemen,اليمن,YE,1548979200000,1574380800000,NA
