OBJECTID,admin2Name_en,admin2Name_vi,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_vi,admin2AltName2_vi,admin1Name_en,admin1Name_vi,admin1Pcode,admin0Name_en,admin0Name_vi,admin0Pcode,date,validOn,validTo
134,Cu Jut,Huyện Cư Jút,VN60621,NA,NA,NA,NA,NA,Dak Nong,Đăk Nông,VN606,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
135,Cu Kuin,Huyện Cư Kuin,VN60524,NA,NA,NA,NA,NA,Dak Lak,Đăk Lắk,VN605,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
136,Cu Lao Dung,Huyện Cù Lao Dung,VN81906,NA,NA,NA,NA,NA,Soc Trang,Sóc Trăng,VN819,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
137,Cu Mgar,Huyện Cư M'gar,VN60513,NA,NA,NA,NA,NA,Dak Lak,Đăk Lắk,VN605,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
138,Cua Lo,Thị xã Cửa Lò,VN40303,NA,NA,NA,NA,NA,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
139,Da Bac,Huyện Đà Bắc,VN30503,NA,NA,NA,NA,NA,Hoa Binh,Hòa Bình,VN305,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
140,Da Huoai,Huyện Đạ Huoai,VN60717,NA,NA,NA,NA,NA,Lam Dong,Lâm Đồng,VN607,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
141,Da Krong,Huyện Đa Krông,VN40917,NA,NA,NA,NA,NA,Quang Tri,Quảng Trị,VN409,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
142,Da Lat,TP. Đà Lạt,VN60701,NA,NA,NA,NA,NA,Lam Dong,Lâm Đồng,VN607,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
143,Da Teh,Huyện Đạ Tẻh,VN60719,NA,NA,NA,NA,NA,Lam Dong,Lâm Đồng,VN607,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
144,Dai Loc,Huyện Đại Lộc,VN50307,NA,NA,NA,NA,NA,Quang Nam,Quảng Nam,VN503,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
145,Dai Tu,Huyện Đại Từ,VN21513,NA,NA,NA,NA,NA,Thai Nguyen,Thái Nguyên,VN215,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
146,Dak Doa,Huyện Đắk Đoa,VN60305,NA,NA,NA,NA,NA,Gia Lai,Gia Lai,VN603,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
147,Dak Glei,Huyện Đắk Glei,VN60103,NA,NA,NA,NA,NA,Kon Tum,Kon Tum,VN601,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
148,Dak Glong,Huyện Đắk Glong,VN60635,NA,NA,NA,NA,NA,Dak Nong,Đăk Nông,VN606,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
149,Dak Ha,Huyện Đắk Hà,VN60111,NA,NA,NA,NA,NA,Kon Tum,Kon Tum,VN601,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
150,Dak Mil,Huyện Đắk Mil,VN60627,NA,NA,NA,NA,NA,Dak Nong,Đăk Nông,VN606,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
151,Dak Po,Huyện Đắk Pơ,VN60312,NA,NA,NA,NA,NA,Gia Lai,Gia Lai,VN603,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
152,Dak Rlap,Huyện Đắk R'Lấp,VN60633,NA,NA,NA,NA,NA,Dak Nong,Đăk Nông,VN606,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
153,Dak Song,Huyện Đắk Song,VN60632,NA,NA,NA,NA,NA,Dak Nong,Đăk Nông,VN606,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
154,Dak To,Huyện Đắk Tô,VN60107,NA,NA,NA,NA,NA,Kon Tum,Kon Tum,VN601,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
155,Dam Doi,Huyện Đầm Dơi,VN82311,NA,NA,NA,NA,NA,Ca Mau,Cà Mau,VN823,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
156,Dam Ha,Huyện Đầm Hà,VN22512,NA,NA,NA,NA,NA,Quang Ninh,Quảng Ninh,VN225,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
157,Dam Rong,Huyện Đam Rông,VN60723,NA,NA,NA,NA,NA,Lam Dong,Lâm Đồng,VN607,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
158,Dan Phuong,Huyện Đan Phượng,VN10133,NA,NA,NA,NA,NA,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
159,Dat Do,Huyện Đất Đỏ,VN71711,NA,NA,NA,NA,NA,Ba Ria - Vung Tau,Bà Rịa - Vũng Tàu,VN717,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
160,Dau Tieng,Huyện Dầu Tiếng,VN71102,NA,NA,NA,NA,NA,Binh Duong,Bình Dương,VN711,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
161,Di An,Thị xã Dĩ An,VN71108,NA,NA,NA,NA,NA,Binh Duong,Bình Dương,VN711,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
162,Di Linh,Huyện Di Linh,VN60715,NA,NA,NA,NA,NA,Lam Dong,Lâm Đồng,VN607,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
163,Dien Ban,Huyện Điện Bàn,VN50309,NA,NA,NA,NA,NA,Quang Nam,Quảng Nam,VN503,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
164,Dien Bien,Huyện Điện Biên,VN30217,NA,NA,NA,NA,NA,Dien Bien,Điện Biên,VN302,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
165,Dien Bien Dong,Huyện Điện Biên Đông,VN30219,NA,NA,NA,NA,NA,Dien Bien,Điện Biên,VN302,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
166,Dien Bien Phu,TP. Điện Biên Phủ,VN30201,NA,NA,NA,NA,NA,Dien Bien,Điện Biên,VN302,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
