OBJECTID,admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
101,San Lorenzo,NI0304,NA,NA,NA,Boaco,NI03,Nicaragua,NI,1507680000000,1597276800000,NA
102,San Lucas,NI1105,NA,NA,NA,Madriz,NI11,Nicaragua,NI,1507680000000,1597276800000,NA
103,San Marcos,NI0407,NA,NA,NA,Carazo,NI04,Nicaragua,NI,1507680000000,1597276800000,NA
104,San Miguelito,NI1605,NA,NA,NA,Río San Juan,NI16,Nicaragua,NI,1507680000000,1597276800000,NA
105,San Nicolás,NI0706,San Nicolas,NA,NA,Estelí,NI07,Nicaragua,NI,1507680000000,1597276800000,NA
106,San Pedro de Lóvago,NI0605,San Pedro de Lovago,NA,NA,Chontales,NI06,Nicaragua,NI,1507680000000,1597276800000,NA
107,San Pedro del Norte,NI0510,NA,NA,NA,Chinandega,NI05,Nicaragua,NI,1507680000000,1597276800000,NA
108,San Rafael del Norte,NI0904,NA,NA,NA,Jinotega,NI09,Nicaragua,NI,1507680000000,1597276800000,NA
109,San Rafael del Sur,NI1205,NA,NA,NA,Managua,NI12,Nicaragua,NI,1507680000000,1597276800000,NA
110,San Ramón,NI1410,San Ramon,NA,NA,Matagalpa,NI14,Nicaragua,NI,1507680000000,1597276800000,NA
111,San Sebastián de Yalí,NI0905,San Sebastian de Yali,NA,NA,Jinotega,NI09,Nicaragua,NI,1507680000000,1597276800000,NA
112,Santa Lucía,NI0305,Santa Lucia,NA,NA,Boaco,NI03,Nicaragua,NI,1507680000000,1597276800000,NA
113,Santa María,NI1511,Santa Maria,NA,NA,Nueva Segovia,NI15,Nicaragua,NI,1507680000000,1597276800000,NA
114,Santa María de Pantasma,NI0906,Santa Maria de Pantasma,NA,NA,Jinotega,NI09,Nicaragua,NI,1507680000000,1597276800000,NA
115,Santa Rosa del Peñón,NI1009,Santa Rosa del Penon,NA,NA,León,NI10,Nicaragua,NI,1507680000000,1597276800000,NA
116,Santo Domingo,NI0606,NA,NA,NA,Chontales,NI06,Nicaragua,NI,1507680000000,1597276800000,NA
117,Santo Tomás,NI0607,Santo Tomas,NA,NA,Chontales,NI06,Nicaragua,NI,1507680000000,1597276800000,NA
118,Sébaco,NI1411,Sebaco,NA,NA,Matagalpa,NI14,Nicaragua,NI,1507680000000,1597276800000,NA
119,Siuna,NI0105,NA,NA,NA,Atlántico Norte,NI01,Nicaragua,NI,1507680000000,1597276800000,NA
