OBJECTID,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,SenDist_en,SenDistPcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
339,Kafa Mafi,NG008007007,Kafa Mafi,Kafa / Mafi, ,Damboa,NG008007,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
340,Kafiya,NG036016005,Kafiya,Wadi/Kafiya, ,Yunusari,NG036016,Yobe East,NG03601,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
341,Kaguram,NG008024002,Kaguram,Kaguram, ,Monguno,NG008024,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
342,Kala,NG008015004,Kala,Kala, ,Kala/Balge,NG008015,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
343,Kalallawa Gabai,NG036003005,Kalallawa Gabai,Kalallawa/Gabai, ,Damaturu,NG036003,Yobe South,NG03603,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
344,Kaliyari,NG036002008,Kaliyari,Kaliyari, ,Bursari,NG036002,Yobe East,NG03601,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
345,Kalizoram,NG008020008,Kalizoram,Kalizoram / Banoram, ,Magumeri,NG008020,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
346,Kanuri,NG036013007,Kanuri,Kanuri, ,Nguru,NG036013,Yobe North,NG03602,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
347,Karagawaru,NG008014008,Karagawaru,Karagawaru, ,Kaga,NG008014,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
348,Kararam,NG008020009,Kararam,Kareram, ,Magumeri,NG008020,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
349,Karasuwa Galu,NG036010007,Karasuwa Galu,Karasuwa Galu, ,Karasuwa,NG036010,Yobe North,NG03602,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
350,Karauswa Garu Guna,NG036010008,Karauswa Garu Guna,Karauswa Garu Guna, ,Karasuwa,NG036010,Yobe North,NG03602,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
351,Kareto,NG008023007,Kareto,Kareto, ,Mobbar,NG008023,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
352,Karewa,NG002020006,Karewa,Karena, ,Yola North,NG002020,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
353,Karlahi,NG002002005,Karlahi,Karlahi, ,Fufore,NG002002,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
354,Kasugula,NG008003005,Kasugula,Kasugula, ,Bama,NG008003,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
355,Katuzu,NG036001004,Katuzu,Katuzu, ,Bade,NG036001,Yobe North,NG03602,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
356,Kautikari,NG008006005,Kautikari,Kautikari, ,Chibok,NG008006,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
357,Kauwa,NG008017006,Kauwa,Kauwa, ,Kukawa,NG008017,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
358,Kawuri,NG008016005,Kawuri,Kawuri, ,Konduga,NG008016,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
359,Kayeri,NG036005008,Kayeri,Kayeri, ,Fune,NG036005,Yobe South,NG03603,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
360,Kekeno,NG008017007,Kekeno,Kekeno, ,Kukawa,NG008017,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
361,Kessa'A,NG008001007,KessaA,Mallamfatori Kessa, ,Abadam,NG008001,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
362,Ketembere,NG002017006,Ketembere,Ketembere, ,Shelleng,NG002017,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
363,Khadammari,NG008013010,Khadammari,Ngudaa/Addamari, ,Jere,NG008013,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
364,Kidda,NG008012005,Kidda,Kida, ,Hawul,NG008012,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
365,Kilange Funa,NG002018004,Kilange Funa,Kilange Funa, ,Song,NG002018,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
366,Kilange Hirna,NG002018005,Kilange Hirna,Kilange Hirna, ,Song,NG002018,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
367,Kingarawa,NG008010007,Kingarawa,Kingarwa, ,Guzamala,NG008010,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
368,Kingowa,NG008009008,Kingowa,Kingowa, ,Gubio,NG008009,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
369,Kirawa,NG008011010,Kirawa,Kirawa/Jimini, ,Gwoza,NG008011,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
370,Kirchinga,NG002010005,Kirchinga,K/Wuro Ngayandi, ,Madagali,NG002010,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
371,Kirenowa,NG008022006,Kirenowa,Kirenowa, ,Marte,NG008022,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
372,Kiri,NG002017007,Kiri,Kiri, ,Shelleng,NG002017,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
373,Kiri 1,NG002019004,Kiri 1,Kiri I, ,Toungo,NG002019,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
374,Kiri 2,NG002019005,Kiri 2,Kiri II, ,Toungo,NG002019,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
375,Kodomti,NG002016005,Kodomti,Kodomti, ,Numan,NG002016,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
376,Kogin Baba 1,NG002019006,Kogin Baba 1,Kongin Baba I, ,Toungo,NG002019,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
377,Kogin Baba 2,NG002019007,Kogin Baba 2,Kongin Baba II, ,Toungo,NG002019,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
378,Kola,NG002006008,Kola,Kola, ,Guyuk,NG002006,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
379,Kolere,NG002014004,Kolere,Kolere, ,Mubi North,NG002014,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
380,Kollere Kafaje,NG036005009,Kollere Kafaje,Kollere/Kafaje, ,Fune,NG036005,Yobe South,NG03603,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
381,Koma 1,NG002008004,Koma 1,Koma I, ,Jada,NG002008,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
382,Koma 2,NG002008005,Koma 2,Koma II, ,Jada,NG002008,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
383,Kombo,NG008027007,Kombo,Kombo, ,Shani,NG008027,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
384,Konduga,NG008016007,Konduga,Konduga, ,Konduga,NG008016,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
385,Konkol,NG002011003,Konkol,Konkol, ,Maiha,NG002011,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
386,Konkomma,NG036011005,Konkomma,Kom-Komma, ,Machina,NG036011,Yobe North,NG03602,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
387,Koriyel,NG036015005,Koriyel,Koriyel, ,Tarmua,NG036015,Yobe East,NG03601,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
388,Korongilum,NG008006006,Korongilum,Korongilim, ,Chibok,NG008006,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
