OBJECTID,admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
167,Retalhuleu,GT1101,Retalhuleu,NA,NA,Retalhuleu,GT11,Guatemala,GT,1537833600000,1549497600000,NA
168,Río Blanco,GT1228,Rio Blanco,NA,NA,San Marcos,GT12,Guatemala,GT,1537833600000,1549497600000,NA
169,Río Bravo,GT1020,Rio Bravo,NA,NA,Suchitepéquez,GT10,Guatemala,GT,1537833600000,1549497600000,NA
170,Río Hondo,GT1903,Rio Hondo,NA,NA,Zacapa,GT19,Guatemala,GT,1537833600000,1549497600000,NA
171,Sacapulas,GT1416,Sacapulas,NA,NA,Quiché,GT14,Guatemala,GT,1537833600000,1549497600000,NA
172,Salamá,GT1501,Salama,NA,NA,Baja Verapaz,GT15,Guatemala,GT,1537833600000,1549497600000,NA
173,Salcajá,GT0902,Salcaja,NA,NA,Quetzaltenango,GT09,Guatemala,GT,1537833600000,1549497600000,NA
174,Samayac,GT1008,Samayac,NA,NA,Suchitepéquez,GT10,Guatemala,GT,1537833600000,1549497600000,NA
175,San Agustín Acasaguastlán,GT0203,San Agustin Acasaguastlan,NA,NA,El Progreso,GT02,Guatemala,GT,1537833600000,1549497600000,NA
176,San Andrés,GT1704,San Andres,NA,NA,Petén,GT17,Guatemala,GT,1537833600000,1549497600000,NA
177,San Andrés Itzapa,GT0413,San Andres Itzapa,NA,NA,Chimaltenango,GT04,Guatemala,GT,1537833600000,1549497600000,NA
178,San Andrés Sajcabajá,GT1414,San Andres Sajcabaja,NA,NA,Quiché,GT14,Guatemala,GT,1537833600000,1549497600000,NA
179,San Andrés Semetabaj,GT0709,San Andres Semetabaj,NA,NA,Sololá,GT07,Guatemala,GT,1537833600000,1549497600000,NA
180,San Andrés Villa Seca,GT1106,San Andres Villa Seca,NA,NA,Retalhuleu,GT11,Guatemala,GT,1537833600000,1549497600000,NA
181,San Andrés Xecul,GT0804,San Andres Xecul,NA,NA,Totonicapán,GT08,Guatemala,GT,1537833600000,1549497600000,NA
182,San Antonio Aguas Calientes,GT0315,San Antonio Aguas Calientes,NA,NA,Sacatepéquez,GT03,Guatemala,GT,1537833600000,1549497600000,NA
183,San Antonio Huista,GT1324,San Antonio Huista,NA,NA,Huehuetenango,GT13,Guatemala,GT,1537833600000,1549497600000,NA
184,San Antonio Ilotenango,GT1408,San Antonio Ilotenango,NA,NA,Quiché,GT14,Guatemala,GT,1537833600000,1549497600000,NA
185,San Antonio La Paz,GT0208,San Antonio La Paz,NA,NA,El Progreso,GT02,Guatemala,GT,1537833600000,1549497600000,NA
186,San Antonio Palopó,GT0712,San Antonio Palopo,NA,NA,Sololá,GT07,Guatemala,GT,1537833600000,1549497600000,NA
187,San Antonio Sacatepéquez,GT1203,San Antonio Sacatepequez,NA,NA,San Marcos,GT12,Guatemala,GT,1537833600000,1549497600000,NA
188,San Antonio Suchitepéquez,GT1010,San Antonio Suchitepequez,NA,NA,Suchitepéquez,GT10,Guatemala,GT,1537833600000,1549497600000,NA
189,San Bartolo,GT0808,San Bartolo,NA,NA,Totonicapán,GT08,Guatemala,GT,1537833600000,1549497600000,NA
190,San Bartolomé Jocotenango,GT1417,San Bartolome Jocotenango,NA,NA,Quiché,GT14,Guatemala,GT,1537833600000,1549497600000,NA
191,San Bartolomé Milpas Altas,GT0307,San Bartolome Milpas Altas,NA,NA,Sacatepéquez,GT03,Guatemala,GT,1537833600000,1549497600000,NA
192,San Benito,GT1703,San Benito,NA,NA,Petén,GT17,Guatemala,GT,1537833600000,1549497600000,NA
193,San Bernardino,GT1004,San Bernardino,NA,NA,Suchitepéquez,GT10,Guatemala,GT,1537833600000,1549497600000,NA
194,San Carlos Alzatate,GT2105,San Carlos Alzatate,NA,NA,Jalapa,GT21,Guatemala,GT,1537833600000,1549497600000,NA
195,San Carlos Sija,GT0904,San Carlos Sija,NA,NA,Quetzaltenango,GT09,Guatemala,GT,1537833600000,1549497600000,NA
196,San Cristóbal Acasaguastlán,GT0204,San Cristobal Acasaguastlan,NA,NA,El Progreso,GT02,Guatemala,GT,1537833600000,1549497600000,NA
197,San Cristóbal Cucho,GT1225,San Cristobal Cucho,NA,NA,San Marcos,GT12,Guatemala,GT,1537833600000,1549497600000,NA
198,San Cristóbal Totonicapán,GT0802,San Cristobal Totonicapan,NA,NA,Totonicapán,GT08,Guatemala,GT,1537833600000,1549497600000,NA
199,San Cristóbal Verapaz,GT1603,San Cristobal Verapaz,NA,NA,Alta Verapaz,GT16,Guatemala,GT,1537833600000,1549497600000,NA
200,San Diego,GT1908,San Diego,NA,NA,Zacapa,GT19,Guatemala,GT,1537833600000,1549497600000,NA
201,San Felipe,GT1105,San Felipe,NA,NA,Retalhuleu,GT11,Guatemala,GT,1537833600000,1549497600000,NA
202,San Francisco,GT1706,San Francisco,NA,NA,Petén,GT17,Guatemala,GT,1537833600000,1549497600000,NA
203,San Francisco El Alto,GT0803,San Francisco El Alto,NA,NA,Totonicapán,GT08,Guatemala,GT,1537833600000,1549497600000,NA
204,San Francisco La Unión,GT0918,San Francisco La Union,NA,NA,Quetzaltenango,GT09,Guatemala,GT,1537833600000,1549497600000,NA
205,San Francisco Zapotitlán,GT1003,San Francisco Zapotitlan,NA,NA,Suchitepéquez,GT10,Guatemala,GT,1537833600000,1549497600000,NA
206,San Gabriel,GT1012,San Gabriel,NA,NA,Suchitepéquez,GT10,Guatemala,GT,1537833600000,1549497600000,NA
207,San Gaspar Ixchil,GT1329,San Gaspar Ixchil,NA,NA,Huehuetenango,GT13,Guatemala,GT,1537833600000,1549497600000,NA
208,San Jacinto,GT2010,San Jacinto,NA,NA,Chiquimula,GT20,Guatemala,GT,1537833600000,1549497600000,NA
209,San Jerónimo,GT1507,San Jeronimo,NA,NA,Baja Verapaz,GT15,Guatemala,GT,1537833600000,1549497600000,NA
210,San Jorge,GT1911,San Jorge,NA,NA,Zacapa,GT19,Guatemala,GT,1537833600000,1549497600000,NA
211,San José,GT0509,San Jose,NA,NA,Escuintla,GT05,Guatemala,GT,1537833600000,1549497600000,NA
212,San José,GT1702,San Jose,NA,NA,Petén,GT17,Guatemala,GT,1537833600000,1549497600000,NA
213,San José Acatempa,GT2216,San Jose Acatempa,NA,NA,Jutiapa,GT22,Guatemala,GT,1537833600000,1549497600000,NA
214,San José Chacayá,GT0702,San Jose Chacaya,NA,NA,Sololá,GT07,Guatemala,GT,1537833600000,1549497600000,NA
215,San José del Golfo,GT0104,San Jose del Golfo,NA,NA,Guatemala,GT01,Guatemala,GT,1537833600000,1549497600000,NA
216,San José El Ídolo,GT1005,San Jose El Idolo,NA,NA,Suchitepéquez,GT10,Guatemala,GT,1537833600000,1549497600000,NA
217,San José La Arada,GT2002,San Jose La Arada,NA,NA,Chiquimula,GT20,Guatemala,GT,1537833600000,1549497600000,NA
218,San José La Máquina,GT1021,San Jose La Maquina,NA,NA,Suchitepéquez,GT10,Guatemala,GT,1537833600000,1549497600000,NA
219,San José Ojetenam,GT1224,San Jose Ojetenam,NA,NA,San Marcos,GT12,Guatemala,GT,1537833600000,1549497600000,NA
220,San José Pinula,GT0103,San Jose Pinula,NA,NA,Guatemala,GT01,Guatemala,GT,1537833600000,1549497600000,NA
221,San José Poaquil,GT0402,San Jose Poaquil,NA,NA,Chimaltenango,GT04,Guatemala,GT,1537833600000,1549497600000,NA
222,San Juan Atitán,GT1316,San Juan Atitan,NA,NA,Huehuetenango,GT13,Guatemala,GT,1537833600000,1549497600000,NA
223,San Juan Bautista,GT1016,San Juan Bautista,NA,NA,Suchitepéquez,GT10,Guatemala,GT,1537833600000,1549497600000,NA
224,San Juan Chamelco,GT1610,San Juan Chamelco,NA,NA,Alta Verapaz,GT16,Guatemala,GT,1537833600000,1549497600000,NA
225,San Juan Cotzal,GT1411,San Juan Cotzal,NA,NA,Quiché,GT14,Guatemala,GT,1537833600000,1549497600000,NA
226,San Juan Ermita,GT2003,San Juan Ermita,NA,NA,Chiquimula,GT20,Guatemala,GT,1537833600000,1549497600000,NA
227,San Juan Ixcoy,GT1323,San Juan Ixcoy,NA,NA,Huehuetenango,GT13,Guatemala,GT,1537833600000,1549497600000,NA
228,San Juan La Laguna,GT0717,San Juan La Laguna,NA,NA,Sololá,GT07,Guatemala,GT,1537833600000,1549497600000,NA
229,San Juan Sacatepéquez,GT0110,San Juan Sacatepequez,NA,NA,Guatemala,GT01,Guatemala,GT,1537833600000,1549497600000,NA
230,San Juan Tecuaco,GT0607,San Juan Tecuaco,NA,NA,Santa Rosa,GT06,Guatemala,GT,1537833600000,1549497600000,NA
