OBJECTID,admin2Name_en,admin2Name_lo,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_lo,admin2AltName2_lo,admin1Name_en,admin1Name_lo,admin1Pcode,admin0Name_en,admin0Name_lo,admin0Pcode,date,validOn,validTo
38,Khounkham,ມ. ຄຼນຄຳ,LA1210,NA,NA,NA,NA,NA,Khammouan,ຄຳມ່ວນ,LA12,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
39,Khua,ມ. ຂວາ,LA0203,NA,NA,NA,NA,NA,Phongsaly,ຜົ້ງສາລີ,LA02,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
40,Kuan,ມ. ກວັນ,LA0709,NA,NA,NA,NA,NA,Houaphan,ຫົວພັນ,LA07,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
41,La,ມ. ຫຼາ,LA0402,NA,NA,NA,NA,NA,Oudomxai,ອຸດົມໄຊ,LA04,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
42,Lakhonepheng,ມ. ລະຄອນເພງ,LA1404,NA,NA,NA,NA,NA,Salavan,ສາລະວັນ,LA14,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
43,Lamarm,ມ. ລະມາມ,LA1501,NA,NA,NA,NA,NA,Sekong,ເຊກອງ,LA15,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
44,Lao Ngarm,ມ. ເລົ່າງາມ,LA1407,NA,NA,NA,NA,NA,Salavan,ສາລະວັນ,LA14,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
45,Long,ມ. ລອງ,LA0303,NA,NA,NA,NA,NA,Louangnamtha,ຫຼວງນ້ຳທາ,LA03,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
46,Longcheng,ມ. ລ້ອງແຈ້ງ,LA1805,NA,NA,NA,NA,NA,Xaisomboon,ໄຊສົມບູນ,LA18,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
47,Longsane,ມ. ລ້ອງຊານ,LA1803,NA,NA,NA,NA,NA,Xaisomboon,ໄຊສົມບູນ,LA18,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
48,Luangprabang,ມ. ຫຼວງພະບາງ,LA0601,NA,NA,NA,NA,NA,Louangphabang,ຫຼວງພະບາງ,LA06,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
49,Mad,ມ. ແມດ,LA1008,NA,NA,NA,NA,NA,Vientiane,ວຽງຈັນ,LA10,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
50,Mahaxay,ມ. ມະຫາໄຊ,LA1202,NA,NA,NA,NA,NA,Khammouan,ຄຳມ່ວນ,LA12,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
51,May,ມ. ໃໝ່,LA0202,NA,NA,NA,NA,NA,Phongsaly,ຜົ້ງສາລີ,LA02,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
52,Mayparkngum,ມ. ປາກງື່ມ,LA0109,NA,NA,NA,NA,NA,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
53,Meun,ມ. ໜື່ນ,LA1013,NA,NA,NA,NA,NA,Vientiane,ວຽງຈັນ,LA10,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
54,Meung,ມ. ເມິງ,LA0503,NA,NA,NA,NA,NA,Bokeo,ບໍ່ແກ້ວ,LA05,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
55,Moonlapamok,ມ. ມູນລະປະໂມກ,LA1609,NA,NA,NA,NA,NA,Champasack,ຈຳປາສັກ,LA16,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
56,Mork,ມ. ໜອກໄມ,LA0905,NA,NA,NA,NA,NA,Xiengkhouang,ຊຽງຂວາງ,LA09,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
