OBJECTID,admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
337,Tchore,TG020513,NA,NA,NA,Doufelgou,TG0205,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
338,Temedja,TG040114,NA,NA,NA,Amou,TG0401,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
339,Tenega,TG020514,NA,NA,NA,Doufelgou,TG0205,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
340,Timbou,TG051708,NA,NA,NA,Cinkasse,TG0517,Savanes,TG05,Togo,TG,1608076800000,1609977600000,NA
341,Tindjassi,TG010205,NA,NA,NA,Plaine du Mo,TG0102,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
342,Tintchro,TG010117,NA,NA,NA,Blitta,TG0101,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
343,Titigbe,TG010311,NA,NA,NA,Sotouboua,TG0103,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
344,Toaga,TG051617,NA,NA,NA,Tone,TG0516,Savanes,TG05,Togo,TG,1608076800000,1609977600000,NA
345,Togblekope,TG030904,NA,NA,NA,Agoe-Nyive,TG0309,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
346,Togoville,TG030608,NA,NA,NA,Vo,TG0306,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
347,Tohoun,TG040806,NA,NA,NA,Moyen-Mono,TG0408,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
348,Tokpli,TG030710,NA,NA,NA,Yoto,TG0307,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
349,Tome,TG041209,NA,NA,NA,Kloto,TG0412,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
350,Tomegbe,TG040209,NA,NA,NA,Wawa,TG0402,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
351,Tomety-Kondji,TG030711,NA,NA,NA,Yoto,TG0307,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
352,Tove,TG041210,NA,NA,NA,Kloto,TG0412,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
353,Tovegan,TG030107,NA,NA,NA,Ave,TG0301,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
354,Tsevie,TG030815,NA,NA,NA,Zio,TG0308,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
355,Vakpossito,TG030905,NA,NA,NA,Agoe-Nyive,TG0309,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
356,Veh,TG041007,NA,NA,NA,Akebou,TG0410,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
357,Vo-Koutime,TG030610,NA,NA,NA,Vo,TG0306,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
358,Vogan,TG030609,NA,NA,NA,Vo,TG0306,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
359,Wahala,TG040608,NA,NA,NA,Haho,TG0406,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
360,Waragni,TG010118,NA,NA,NA,Blitta,TG0101,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
361,Warengo,TG020609,NA,NA,NA,Keran,TG0206,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
362,Wassarabo,TG010512,NA,NA,NA,Tchaoudjo,TG0105,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
363,Welly,TG010119,NA,NA,NA,Blitta,TG0101,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
364,Wli,TG030816,NA,NA,NA,Zio,TG0308,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
365,Wome,TG041211,NA,NA,NA,Kloto,TG0412,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
366,Yade,TG020715,NA,NA,NA,Kozah,TG0207,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
367,Yalla,TG041008,NA,NA,NA,Akebou,TG0410,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
368,Yaloumbe,TG010120,NA,NA,NA,Blitta,TG0101,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
369,Yegue,TG010121,NA,NA,NA,Blitta,TG0101,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
370,Yikpa,TG040405,NA,NA,NA,Danyi,TG0404,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
371,Yokele,TG041212,NA,NA,NA,Kloto,TG0412,Plateaux,TG04,Togo,TG,1608076800000,1609977600000,NA
372,Zafi,TG030712,NA,NA,NA,Yoto,TG0307,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
373,Zanguera,TG030906,NA,NA,NA,Agoe-Nyive,TG0309,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
