OBJECTID,admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ar,admin2AltName2_ar,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
51,Al Radoum,الردوم,SD03141,NA,NA,NA,NA,NA,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
52,Al Wihda,الوحدة,SD03150,NA,NA,NA,NA,NA,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
53,An Nuhud,النهود,SD18022,NA,NA,NA,NA,NA,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
54,Ar Rahad,الرهد,SD12084,NA,NA,NA,NA,NA,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
55,Ar Rahad,الرهد,SD13030,NA,NA,NA,NA,NA,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
56,Ar Rashad,الرشاد,SD07093,NA,NA,NA,NA,NA,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
57,Ar Reif Ash Shargi,الريف الشرقي,SD07097,NA,NA,NA,NA,NA,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
58,Ar Rusayris,الروصيرص,SD08107,NA,NA,NA,NA,NA,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
59,As Salam - SD,السلام - ج د,SD03166,NA,NA,NA,NA,NA,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
60,As Salam - WK,السلام - غ ك,SD18086,NA,NA,NA,NA,NA,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
61,As Salam / Ar Rawat,السلام / الراوات,SD09049,NA,NA,NA,NA,NA,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
62,As Serief,السريف,SD02118,NA,NA,NA,NA,NA,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
63,As Suki,السوكي,SD14041,NA,NA,NA,NA,NA,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
64,As Sunta,السنطة,SD03156,NA,NA,NA,NA,NA,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
65,As Sunut,السنوط,SD18092,NA,NA,NA,NA,NA,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
66,Assalaya,عسلاية,SD05163,NA,NA,NA,NA,NA,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
67,At Tadamon - BN,التضامن - ن ق,SD08108,NA,NA,NA,NA,NA,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
68,At Tadamon - SK,التضامن - ج ك,SD07106,NA,NA,NA,NA,NA,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
69,At Tawisha,الطويشة,SD02119,NA,NA,NA,NA,NA,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
70,At Tina,الطينة,SD02171,NA,NA,NA,NA,NA,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
71,Atbara,عطبرة,SD16012,NA,NA,NA,NA,NA,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
72,Azum,أزوم,SD06110,NA,NA,NA,NA,NA,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
73,Babanusa,بابنوسة,SD18100,NA,NA,NA,NA,NA,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
74,Bahr Al Arab,بحر العرب,SD05160,NA,NA,NA,NA,NA,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
75,Bahri,بحري,SD01003,NA,NA,NA,NA,NA,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
76,Bara,بارا,SD13026,NA,NA,NA,NA,NA,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
77,Barbar,بربر,SD16013,NA,NA,NA,NA,NA,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
78,Basundah,باسندة,SD12077,NA,NA,NA,NA,NA,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
79,Baw,باو,SD08104,NA,NA,NA,NA,NA,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
80,Beida,بيضا,SD04111,NA,NA,NA,NA,NA,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
81,Beliel,بليل,SD03162,NA,NA,NA,NA,NA,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
82,Bendasi,بندسي,SD06112,NA,NA,NA,NA,NA,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
83,Buram,برام,SD03161,NA,NA,NA,NA,NA,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
84,Damso,دمسو,SD03172,NA,NA,NA,NA,NA,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
85,Dar As Salam,دار السلام,SD02113,NA,NA,NA,NA,NA,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
86,Delami,دلامي,SD07107,NA,NA,NA,NA,NA,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
87,Delgo,دلقو,SD17015,NA,NA,NA,NA,NA,Northern,الشمالية,SD17,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
88,Dilling,الدلنج,SD07095,NA,NA,NA,NA,NA,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
89,Dongola,دنقلا,SD17017,NA,NA,NA,NA,NA,Northern,الشمالية,SD17,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
90,Dordieb,درديب,SD10063,NA,NA,NA,NA,NA,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
91,Ed Al Fursan,عد الفرسان,SD03143,NA,NA,NA,NA,NA,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
92,Ed Damazine,الدمازين,SD08105,NA,NA,NA,NA,NA,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
93,Foro Baranga,فور برنقا,SD04121,NA,NA,NA,NA,NA,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
94,Gala'a Al Nahal,قلع النحل,SD12079,Galaa Al Nahal,NA,NA,NA,NA,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
95,Galabat Ash-Shargiah,القلابات الشرقية,SD12083,NA,NA,NA,NA,NA,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
96,Gebrat Al Sheikh,جبرة الشيخ,SD13027,NA,NA,NA,NA,NA,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
97,Geisan,قيسان,SD08109,NA,NA,NA,NA,NA,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
98,Gereida,قريضة,SD03153,NA,NA,NA,NA,NA,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
99,Ghadeer,غدير,SD07108,NA,NA,NA,NA,NA,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
100,Gharb Bara,غرب بارا,SD13029,NA,NA,NA,NA,NA,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
101,Gharb Jabal Marrah,غرب جبل مرة,SD06131,NA,NA,NA,NA,NA,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
102,Ghubaish,غبيش,SD18021,NA,NA,NA,NA,NA,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
103,Guli,قلي,SD09052,NA,NA,NA,NA,NA,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
104,Habila - SK,هبيلة - ج ك,SD07103,NA,NA,NA,NA,NA,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
105,Habila - WD,هبيلة - غ د,SD04122,NA,NA,NA,NA,NA,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
106,Hala'ib,حلايب,SD10066,Halaib,NA,NA,NA,NA,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
107,Halfa,حلفا,SD17014,NA,NA,NA,NA,NA,Northern,الشمالية,SD17,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
108,Halfa Aj Jadeedah,حلفا الجديدة,SD11052,NA,NA,NA,NA,NA,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
109,Haya,هيا,SD10070,NA,NA,NA,NA,NA,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
110,Heiban,هيبان,SD07096,NA,NA,NA,NA,NA,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
111,Janub Al Jazirah,جنوب الجزيرة,SD15031,NA,NA,NA,NA,NA,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
112,Jebel Awlia,جبل أولياء,SD01001,NA,NA,NA,NA,NA,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
113,Jebel Moon,جبل مون,SD04123,NA,NA,NA,NA,NA,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
114,Jubayt Elma'aadin,جبيت المعادن,SD10067,Jubayt Elmaaadin,NA,NA,NA,NA,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
115,Kadugli,كادقلي,SD07098,NA,NA,NA,NA,NA,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
116,Karrari,كرري,SD01005,NA,NA,NA,NA,NA,Khartoum,الخرطوم,SD01,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
117,Kas,كاس,SD03144,NA,NA,NA,NA,NA,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
118,Kateila,كتيلا,SD03159,NA,NA,NA,NA,NA,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
119,Kebkabiya,كبكابية,SD02124,NA,NA,NA,NA,NA,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
120,Keilak,كيلك,SD18085,NA,NA,NA,NA,NA,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
121,Kelemando,كلمندو,SD02126,NA,NA,NA,NA,NA,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
122,Kereneik,كرينك,SD04125,NA,NA,NA,NA,NA,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
123,Kernoi,كرنوي,SD02168,NA,NA,NA,NA,NA,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,1583884800000,1598832000000,NA
