OBJECTID,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1413,Ta Lou,KH150109,NA,NA,NA,Bakan,KH1501,Pursat,KH15,Cambodia,KH,1413244800000,1538611200000,NA
1414,Ta Mao,KH100308,NA,NA,NA,Prek Prasab,KH1003,Kratie,KH10,Cambodia,KH,1413244800000,1538611200000,NA
1415,Ta Meun,KH020202,NA,NA,NA,Thma Koul,KH0202,Battambang,KH02,Cambodia,KH,1413244800000,1538611200000,NA
1416,Ta Noun,KH090103,NA,NA,NA,Botum Sakor,KH0901,Koh Kong,KH09,Cambodia,KH,1413244800000,1538611200000,NA
1417,Ta Ong,KH030207,NA,NA,NA,Chamkar Leu,KH0302,Kampong Cham,KH03,Cambodia,KH,1413244800000,1538611200000,NA
1418,Ta Ou,KH210412,NA,NA,NA,Kiri Vong,KH2104,Takeo,KH21,Cambodia,KH,1413244800000,1538611200000,NA
1419,Ta Phem,KH210912,NA,NA,NA,Tram Kak,KH2109,Takeo,KH21,Cambodia,KH,1413244800000,1538611200000,NA
1420,Ta Phou,KH010806,NA,NA,NA,Svay Chek,KH0108,Banteay Meanchey,KH01,Cambodia,KH,1413244800000,1538611200000,NA
1421,Ta Pon,KH020803,NA,NA,NA,Sangkae,KH0208,Battambang,KH02,Cambodia,KH,1413244800000,1538611200000,NA
1422,Ta Prok,KH030208,NA,NA,NA,Chamkar Leu,KH0302,Kampong Cham,KH03,Cambodia,KH,1413244800000,1538611200000,NA
1423,Ta Pung,KH020201,NA,NA,NA,Thma Koul,KH0202,Battambang,KH02,Cambodia,KH,1413244800000,1538611200000,NA
1424,Ta Saen,KH021205,NA,NA,NA,Kamrieng,KH0212,Battambang,KH02,Cambodia,KH,1413244800000,1538611200000,NA
1425,Ta Sal,KH050405,NA,NA,NA,Aoral,KH0504,Kampong Speu,KH05,Cambodia,KH,1413244800000,1538611200000,NA
1426,Ta Sanh,KH020907,NA,NA,NA,Samlout,KH0209,Battambang,KH02,Cambodia,KH,1413244800000,1538611200000,NA
1427,Ta Saom,KH170107,NA,NA,NA,Angkor Chum,KH1701,Siemreap,KH17,Cambodia,KH,1413244800000,1538611200000,NA
1428,Ta Sda,KH021003,NA,NA,NA,Sampov Lun,KH0210,Battambang,KH02,Cambodia,KH,1413244800000,1538611200000,NA
1429,Ta Siem,KH171305,NA,NA,NA,Svay Leu,KH1713,Siemreap,KH17,Cambodia,KH,1413244800000,1538611200000,NA
1430,Ta Suos,KH200505,NA,NA,NA,Svay Chrum,KH2005,Svay Rieng,KH20,Cambodia,KH,1413244800000,1538611200000,NA
1431,Ta Tai Kraom,KH090303,NA,NA,NA,Kaoh Kong,KH0903,Koh Kong,KH09,Cambodia,KH,1413244800000,1538611200000,NA
1432,Ta Taok,KH020901,NA,NA,NA,Samlout,KH0209,Battambang,KH02,Cambodia,KH,1413244800000,1538611200000,NA
1433,Ta Tey Leu,KH090701,NA,NA,NA,Thma Bang,KH0907,Koh Kong,KH09,Cambodia,KH,1413244800000,1538611200000,NA
1434,Ta Veaeng Kraom,KH160802,NA,NA,NA,Ta Veaeng,KH1608,Ratanak Kiri,KH16,Cambodia,KH,1413244800000,1538611200000,NA
1435,Ta Veaeng Leu,KH160801,NA,NA,NA,Ta Veaeng,KH1608,Ratanak Kiri,KH16,Cambodia,KH,1413244800000,1538611200000,NA
1436,Ta Yaek,KH171110,NA,NA,NA,Soutr Nikom,KH1711,Siemreap,KH17,Cambodia,KH,1413244800000,1538611200000,NA
1437,Takaen,KH070302,NA,NA,NA,Chhuk,KH0703,Kampot,KH07,Cambodia,KH,1413244800000,1538611200000,NA
1438,Tang Doung,KH210212,NA,NA,NA,Bati,KH2102,Takeo,KH21,Cambodia,KH,1413244800000,1538611200000,NA
1439,Tang Krang,KH030109,NA,NA,NA,Batheay,KH0301,Kampong Cham,KH03,Cambodia,KH,1413244800000,1538611200000,NA
1440,Tang Krasang,KH030110,NA,NA,NA,Batheay,KH0301,Kampong Cham,KH03,Cambodia,KH,1413244800000,1538611200000,NA
1441,Tang Krasang,KH040807,NA,NA,NA,Tuek Phos,KH0408,Kampong Chhnang,KH04,Cambodia,KH,1413244800000,1538611200000,NA
1442,Tang Krasang,KH060708,NA,NA,NA,Santuk,KH0607,Kampong Thom,KH06,Cambodia,KH,1413244800000,1538611200000,NA
