OBJECTID,admin3Name_en,admin3Name_ar,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_ar,admin3AltName2_ar,admin2Name_en,admin2Name_ar,admin2Pcode,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
111,Ameraly,آمرلي,IQG16Q07N01,NA,NA,NA,NA,NA,Tooz Khurmato,طوز خورماتو,IQG16Q07,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,1559174400000,1559520000000,NA
112,Atreesh,ئةتريش,IQG15Q06N03,NA,NA,NA,NA,NA,Al-Shikhan,الشيخان,IQG15Q06,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,1559174400000,1559520000000,NA
113,Baghdad Al-Jedeeda,بغداد الجديدة,IQG08Q06N02,NA,NA,NA,NA,NA,Al-Risafa,الرصافة,IQG08Q06,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,1559174400000,1559520000000,NA
114,Balak,بالك,IQG11Q05N03,NA,NA,NA,NA,NA,Rawanduz,راوندوز,IQG11Q05,Erbil,اربيل,IQG11,Iraq,العراق,IQ,1559174400000,1559520000000,NA
115,Bardarash,بردرش,IQG15Q01N01,NA,NA,NA,NA,NA,Aqra,عقرة,IQG15Q01,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,1559174400000,1559520000000,NA
116,Bartilla,برطلة,IQG15Q03N02,NA,NA,NA,NA,NA,Al-Hamdaniya,الحمدانية,IQG15Q03,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,1559174400000,1559520000000,NA
117,Barwana,بروانه,IQG01Q06N02,NA,NA,NA,NA,NA,Haditha,حديثة,IQG01Q06,Al-Anbar,الانبار,IQG01,Iraq,العراق,IQ,1559174400000,1559520000000,NA
118,Barwari Bala,برواري بالا,IQG09Q01N01,NA,NA,NA,NA,NA,Al-Amadiya,العمادية,IQG09Q01,Duhok,دهوك,IQG09,Iraq,العراق,IQ,1559174400000,1559520000000,NA
119,Barzan,بارزان,IQG11Q01N01,NA,NA,NA,NA,NA,Al-Zibar,الزيبار,IQG11Q01,Erbil,اربيل,IQG11,Iraq,العراق,IQ,1559174400000,1559520000000,NA
120,Bashiqa,بعشيقة,IQG15Q05N03,NA,NA,NA,NA,NA,Al-Mosul,الموصل,IQG15Q05,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,1559174400000,1559520000000,NA
121,Bateel,باتيل,IQG09Q03N01,NA,NA,NA,NA,NA,Sumail,سميل,IQG09Q03,Duhok,دهوك,IQG09,Iraq,العراق,IQ,1559174400000,1559520000000,NA
122,Batifa,باتيفا,IQG09Q04N02,NA,NA,NA,NA,NA,Zakho,زاخو,IQG09Q04,Duhok,دهوك,IQG09,Iraq,العراق,IQ,1559174400000,1559520000000,NA
123,Bazian,بازيان,IQG06Q01N01,NA,NA,NA,NA,NA,Al-Sulaymaniyah,السليمانية,IQG06Q01,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,1559174400000,1559520000000,NA
124,Bebaz,بيباز,IQG06Q06N02,NA,NA,NA,NA,NA,Kalar,كلار,IQG06Q06,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,1559174400000,1559520000000,NA
125,Begeel,بجيل,IQG15Q01N02,NA,NA,NA,NA,NA,Aqra,عقرة,IQG15Q01,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,1559174400000,1559520000000,NA
126,Beni Hasheem,بني هاشم,IQG14Q03N01,NA,NA,NA,NA,NA,Al-Kahla,الكحلاء,IQG14Q03,Maysan,ميسان,IQG14,Iraq,العراق,IQ,1559174400000,1559520000000,NA
127,Beni Saad,بني سعد,IQG10Q04N02,NA,NA,NA,NA,NA,Baquba,بعقوبة,IQG10Q04,Diyala,ديالى,IQG10,Iraq,العراق,IQ,1559174400000,1559520000000,NA
128,Beyara,بيارة,IQG06Q05N01,NA,NA,NA,NA,NA,Halabcha,حلبجة,IQG06Q05,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,1559174400000,1559520000000,NA
129,Bitwana,بتوانه,IQG06Q09N03,NA,NA,NA,NA,NA,Rania,رانية,IQG06Q09,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,1559174400000,1559520000000,NA
130,Bradost,برادوست,IQG11Q05N06,NA,NA,NA,NA,NA,Rawanduz,راوندوز,IQG11Q05,Erbil,اربيل,IQG11,Iraq,العراق,IQ,1559174400000,1559520000000,NA
131,Buhriz,بهرز,IQG10Q04N01,NA,NA,NA,NA,NA,Baquba,بعقوبة,IQG10Q04,Diyala,ديالى,IQG10,Iraq,العراق,IQ,1559174400000,1559520000000,NA
132,Cenkaw,سنكاو,IQG06Q02N04,NA,NA,NA,NA,NA,Chamchamal,جمجمال,IQG06Q02,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,1559174400000,1559520000000,NA
133,Dercar,دركار,IQG09Q04N03,NA,NA,NA,NA,NA,Zakho,زاخو,IQG09Q04,Duhok,دهوك,IQG09,Iraq,العراق,IQ,1559174400000,1559520000000,NA
134,Diana,ديانا,IQG11Q05N02,NA,NA,NA,NA,NA,Rawanduz,راوندوز,IQG11Q05,Erbil,اربيل,IQG11,Iraq,العراق,IQ,1559174400000,1559520000000,NA
135,Dibaga,ديبكة,IQG11Q04N03,NA,NA,NA,NA,NA,Makhmour,مخمور,IQG11Q04,Erbil,اربيل,IQG11,Iraq,العراق,IQ,1559174400000,1559520000000,NA
136,Dijla,دجلة,IQG16Q05N04,NA,NA,NA,NA,NA,Samarra,سامراء,IQG16Q05,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,1559174400000,1559520000000,NA
137,Dinarta,دينارتة,IQG15Q01N04,NA,NA,NA,NA,NA,Aqra,عقرة,IQG15Q01,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,1559174400000,1559520000000,NA
138,Fayde,فايدة,IQG09Q03N02,NA,NA,NA,NA,NA,Sumail,سميل,IQG09Q03,Duhok,دهوك,IQG09,Iraq,العراق,IQ,1559174400000,1559520000000,NA
139,Garmat Beni Said,كرمة بني سعد,IQG17Q05N01,NA,NA,NA,NA,NA,Suq Al-Shoyokh,سوق الشيوخ,IQG17Q05,Thi Qar,ذي قار,IQG17,Iraq,العراق,IQ,1559174400000,1559520000000,NA
140,Ghammas,غماس,IQG05Q04N02,NA,NA,NA,NA,NA,Al-Shamiya,الشامية,IQG05Q04,Al-Qadissiya,القادسية,IQG05,Iraq,العراق,IQ,1559174400000,1559520000000,NA
