OBJECTID,admin3Name_en,admin3Name_fr,admin3Name_ht,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_fr,admin3AltName2_fr,admin3AltName1_ht,admin3AltName2_ht,admin2Name_en,admin2Name_fr,admin2Name_ht,admin2Pcode,admin1Name_en,admin1Name_fr,admin1Name_ht,admin1Pcode,admin0Name_en,admin0Name_fr,admin0Name_ht,admin0Pcode,date,validOn,validTo
293,3e Section Boucan Bois Pin,3e Section Boucan Bois Pin, ,HT0134-03,NA,NA,NA,NA,NA,NA,NA,Cornillon / Grand Bois,Cornillon / Grand Bois, ,HT0134,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
294,3e Section Bouyaha,3e Section Bouyaha, ,HT0341-03,NA,NA,NA,NA,NA,NA,NA,Saint-Raphael,Saint-Raphaël, ,HT0341,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
295,3e Section Bras Gauche,3e Section Bras Gauche, ,HT0222-03,NA,NA,NA,NA,NA,NA,NA,Cotes de Fer,Côtes de Fer, ,HT0222,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
296,3e Section Brodequin,3e Section Brodequin, ,HT0731-03,NA,NA,NA,NA,NA,NA,NA,Aquin,Aquin, ,HT0731,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
297,3e Section Callumette,3e Section Callumette, ,HT0231-03,NA,NA,NA,NA,NA,NA,NA,Belle Anse,Belle Anse, ,HT0231,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
298,3e Section Camp Coq,3e Section Camp Coq, ,HT0361-03,NA,NA,NA,NA,NA,NA,NA,Limbe,Limbé, ,HT0361,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
299,3e Section Caracol,3e Section Caracol, ,HT0331-03,NA,NA,NA,NA,NA,NA,NA,Grande Riviere Du Nord,Grande Riviere Du Nord, ,HT0331,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
300,3e Section Carrefour Canon,3e Section Carrefour Canon, ,HT0713-03,NA,NA,NA,NA,NA,NA,NA,Chantal,Chantal, ,HT0713,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
301,3e Section Champy (Nan Campeche),3e Section Champy (Nan Campêche), ,HT0831-03,NA,NA,NA,NA,NA,NA,NA,Corail,Corail, ,HT0831,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
302,3e Section Chemin Neuf,3e Section Chemin Neuf, ,HT0512-03,NA,NA,NA,NA,NA,NA,NA,Ennery,Ennery, ,HT0512,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
303,3e Section Cochon Gras,3e Section Cochon Gras, ,HT0211-03,NA,NA,NA,NA,NA,NA,NA,Jacmel,Jacmel, ,HT0211,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
304,3e Section Corosse,3e Section Corosse, ,HT0441-03,NA,NA,NA,NA,NA,NA,NA,Vallieres,Vallières, ,HT0441,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
305,3e Section Cosse,3e Section Cosse, ,HT0752-03,NA,NA,NA,NA,NA,NA,NA,Les Anglais,Les Anglais, ,HT0752,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
306,3e Section Cotelette,3e Section Cotelette, ,HT0432-03,NA,NA,NA,NA,NA,NA,NA,Sainte Suzanne,Sainte Suzanne, ,HT0432,North-East,Nord-Est,Nòdès,HT04,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
307,3e Section Cotes de Fer,3e Section Cotes de Fer, ,HT0922-03,NA,NA,NA,NA,NA,NA,NA,Anse-a-Foleur,Anse-à-Foleur, ,HT0922,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
308,3e Section Coupe Mardi Gras,3e Section Coupe Mardi Gras, ,HT0622-03,NA,NA,NA,NA,NA,NA,NA,Saut d'Eau,Saut d'Eau, ,HT0622,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
309,3e Section Cracaraille,3e Section Cracaraille, ,HT0343-03,NA,NA,NA,NA,NA,NA,NA,Ranquitte,Ranquitte, ,HT0343,North,Nord,Nò,HT03,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
310,3e Section d'Arniquet,3e Section d'Arniquet, ,HT0723-03,3e Section dArniquet,NA,NA,NA,NA,NA,NA,Arniquet,Arniquet, ,HT0723,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
