OBJECTID,admin4Name_en,admin4Pcode,admin4RefName,admin4AltName1_en,admin4AltName2_en,admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
87,Aberiambut,ID9411060022,NA,NA,NA,Ilu,ID9411060,Puncak Jaya,ID9411,Papua,ID94,Indonesia,ID,1576800000000,1585699200000,NA
88,Abeuk Budi,ID1110050006,NA,NA,NA,Juli,ID1110050,Bireuen,ID1110,Aceh,ID11,Indonesia,ID,1576800000000,1585699200000,NA
89,Abeuk Geulanteu,ID1105181010,NA,NA,NA,Madat,ID1105181,Aceh Timur,ID1105,Aceh,ID11,Indonesia,ID,1576800000000,1585699200000,NA
90,Abeuk Jaloh,ID1110070002,NA,NA,NA,Jangka,ID1110070,Bireuen,ID1110,Aceh,ID11,Indonesia,ID,1576800000000,1585699200000,NA
91,Abeuk Leupen,ID1111110063,NA,NA,NA,Lhoksukon,ID1111110,Aceh Utara,ID1111,Aceh,ID11,Indonesia,ID,1576800000000,1585699200000,NA
92,Abeuk Reuling,ID1111010032,NA,NA,NA,Sawang,ID1111010,Aceh Utara,ID1111,Aceh,ID11,Indonesia,ID,1576800000000,1585699200000,NA
93,Abeuk Tingkeum,ID1110060030,NA,NA,NA,Jeumpa,ID1110060,Bireuen,ID1110,Aceh,ID11,Indonesia,ID,1576800000000,1585699200000,NA
94,Abeuk Usong,ID1110060001,NA,NA,NA,Jeumpa,ID1110060,Bireuen,ID1110,Aceh,ID11,Indonesia,ID,1576800000000,1585699200000,NA
95,Abgoigi / Digimani,ID9434060001,NA,NA,NA,Dogiyai,ID9434060,Dogiyai,ID9434,Papua,ID94,Indonesia,ID,1576800000000,1585699200000,NA
96,Abi,ID5304072007,NA,NA,NA,Oenino,ID5304072,Timor Tengah Selatan,ID5304,Nusa Tenggara Timur,ID53,Indonesia,ID,1576800000000,1585699200000,NA
97,Abian Tubuh Baru,ID5271031002,NA,NA,NA,Sandubaya,ID5271031,Kota Mataram,ID5271,Nusa Tenggara Barat,ID52,Indonesia,ID,1576800000000,1585699200000,NA
98,Abian Tuwung,ID5102040014,NA,NA,NA,Kediri,ID5102040,Tabanan,ID5102,Bali,ID51,Indonesia,ID,1576800000000,1585699200000,NA
99,Abianbase,ID5103040006,NA,NA,NA,Mengwi,ID5103040,Badung,ID5103,Bali,ID51,Indonesia,ID,1576800000000,1585699200000,NA
100,Abianbase,ID5104030007,NA,NA,NA,Gianyar,ID5104030,Gianyar,ID5104,Bali,ID51,Indonesia,ID,1576800000000,1585699200000,NA
101,Abiansemal,ID5103050009,NA,NA,NA,Abiansemal,ID5103050,Badung,ID5103,Bali,ID51,Indonesia,ID,1576800000000,1585699200000,NA
102,Abidon,ID9108070008,NA,NA,NA,Kepulauan Ayau,ID9108070,Raja Ampat,ID9108,Papua Barat,ID91,Indonesia,ID,1576800000000,1585699200000,NA
103,Abimbak,ID9418031004,NA,NA,NA,Bokoneri,ID9418031,Tolikara,ID9418,Papua,ID94,Indonesia,ID,1576800000000,1585699200000,NA
104,Abirau,ID6303070026,NA,NA,NA,Karang Intan,ID6303070,Banjar,ID6303,Kalimantan Selatan,ID63,Indonesia,ID,1576800000000,1585699200000,NA
105,Abit,ID6402082013,NA,NA,NA,Manor Bulatn,ID6402082,Kutai Barat,ID6402,Kalimantan Timur,ID64,Indonesia,ID,1576800000000,1585699200000,NA
106,Abo,ID1109210007,NA,NA,NA,Pidie,ID1109210,Pidie,ID1109,Aceh,ID11,Indonesia,ID,1576800000000,1585699200000,NA
107,Aboge,ID9414050007,NA,NA,NA,Assue,ID9414050,Mappi,ID9414,Papua,ID94,Indonesia,ID,1576800000000,1585699200000,NA
108,Abola,ID7410030027,NA,NA,NA,Lasolo,ID7410030,Konawe Utara,ID7410,Sulawesi Tenggara,ID74,Indonesia,ID,1576800000000,1585699200000,NA
109,Aboneri,ID9402183022,NA,NA,NA,Pyramid,ID9402183,Jayawijaya,ID9402,Papua,ID94,Indonesia,ID,1576800000000,1585699200000,NA
110,Aboru,ID8103090004,NA,NA,NA,P. Haruku,ID8103090,Maluku Tengah,ID8103,Maluku,ID81,Indonesia,ID,1576800000000,1585699200000,NA
111,Abouyaga,ID9434030002,NA,NA,NA,Mapia Barat,ID9434030,Dogiyai,ID9434,Papua,ID94,Indonesia,ID,1576800000000,1585699200000,NA
112,Aboy,ID9417041002,NA,NA,NA,Aboy,ID9417041,Pegunungan Bintang,ID9417,Papua,ID94,Indonesia,ID,1576800000000,1585699200000,NA
113,Abresso,ID9111050003,NA,NA,NA,Ransiki,ID9111050,Manokwari Selatan,ID9111,Papua Barat,ID91,Indonesia,ID,1576800000000,1585699200000,NA
114,Abu Sakim,ID1709050024,NA,NA,NA,Pondok Kelapa,ID1709050,Bengkulu Tengah,ID1709,Bengkulu,ID17,Indonesia,ID,1576800000000,1585699200000,NA
115,Abua,ID9430100008,NA,NA,NA,Poga,ID9430100,Lanny Jaya,ID9430,Papua,ID94,Indonesia,ID,1576800000000,1585699200000,NA
116,Abuan,ID5106010002,NA,NA,NA,Susut,ID5106010,Bangli,ID5106,Bali,ID51,Indonesia,ID,1576800000000,1585699200000,NA
117,Abuan,ID5106040012,NA,NA,NA,Kintamani,ID5106040,Bangli,ID5106,Bali,ID51,Indonesia,ID,1576800000000,1585699200000,NA
118,Abubu,ID8103081002,NA,NA,NA,Nusalaut,ID8103081,Maluku Tengah,ID8103,Maluku,ID81,Indonesia,ID,1576800000000,1585699200000,NA
119,Abukerom,ID9417060019,NA,NA,NA,Batom,ID9417060,Pegunungan Bintang,ID9417,Papua,ID94,Indonesia,ID,1576800000000,1585699200000,NA
120,Abuki,ID7403180018,NA,NA,NA,Abuki,ID7403180,Konawe,ID7403,Sulawesi Tenggara,ID74,Indonesia,ID,1576800000000,1585699200000,NA
121,Abuleta,ID8107031011,NA,NA,NA,Siwalalat,ID8107031,Seram Bagian Timur,ID8107,Maluku,ID81,Indonesia,ID,1576800000000,1585699200000,NA
122,Abumbun Jaya,ID6303040005,NA,NA,NA,Sungai Tabuk,ID6303040,Banjar,ID6303,Kalimantan Selatan,ID63,Indonesia,ID,1576800000000,1585699200000,NA
123,Abung,ID6307091007,NA,NA,NA,Limpasu,ID6307091,Hulu Sungai Tengah,ID6307,Kalimantan Selatan,ID63,Indonesia,ID,1576800000000,1585699200000,NA
124,Abung Jayo,ID1806050014,NA,NA,NA,Abung Selatan,ID1806050,Lampung Utara,ID1806,Lampung,ID18,Indonesia,ID,1576800000000,1585699200000,NA
125,Abung Surapati,ID6307091008,NA,NA,NA,Limpasu,ID6307091,Hulu Sungai Tengah,ID6307,Kalimantan Selatan,ID63,Indonesia,ID,1576800000000,1585699200000,NA
126,Aburage,ID9418023003,NA,NA,NA,Kondaga,ID9418023,Tolikara,ID9418,Papua,ID94,Indonesia,ID,1576800000000,1585699200000,NA
127,Aburan Batang Tebo,ID1508020001,NA,NA,NA,Tebo Tengah,ID1508020,Tebo,ID1508,Jambi,ID15,Indonesia,ID,1576800000000,1585699200000,NA
128,Abusa,ID9402190011,NA,NA,NA,Kurulu,ID9402190,Jayawijaya,ID9402,Papua,ID94,Indonesia,ID,1576800000000,1585699200000,NA
129,Abusur,ID8108020004,NA,NA,NA,Pp. Terselatan,ID8108020,Maluku Barat Daya,ID8108,Maluku,ID81,Indonesia,ID,1576800000000,1585699200000,NA
130,Abutpuk,ID9402191037,NA,NA,NA,Usilimo,ID9402191,Jayawijaya,ID9402,Papua,ID94,Indonesia,ID,1576800000000,1585699200000,NA
131,Acango,ID8201090039,NA,NA,NA,Jailolo,ID8201090,Halmahera Barat,ID8201,Maluku Utara,ID82,Indonesia,ID,1576800000000,1585699200000,NA
132,Aceh,ID1604061007,NA,NA,NA,Pajar Bulan,ID1604061,Lahat,ID1604,Sumatera Selatan,ID16,Indonesia,ID,1576800000000,1585699200000,NA
133,Acemo,ID9105144001,NA,NA,NA,Manokwari Selatan,ID9105144,Manokwari,ID9105,Papua Barat,ID91,Indonesia,ID,1576800000000,1585699200000,NA
134,Ad Ngurwul,ID8102023019,NA,NA,NA,Kei Besar Utara Barat,ID8102023,Maluku Tenggara,ID8102,Maluku,ID81,Indonesia,ID,1576800000000,1585699200000,NA
135,Ad Ohoiwaf,ID8102023020,NA,NA,NA,Kei Besar Utara Barat,ID8102023,Maluku Tenggara,ID8102,Maluku,ID81,Indonesia,ID,1576800000000,1585699200000,NA
136,Ad Wearaur,ID8102023018,NA,NA,NA,Kei Besar Utara Barat,ID8102023,Maluku Tenggara,ID8102,Maluku,ID81,Indonesia,ID,1576800000000,1585699200000,NA
137,Adabai,ID8107031009,NA,NA,NA,Siwalalat,ID8107031,Seram Bagian Timur,ID8107,Maluku,ID81,Indonesia,ID,1576800000000,1585699200000,NA
138,Adabang,ID5309011001,NA,NA,NA,Titehena,ID5309011,Flores Timur,ID5309,Nusa Tenggara Timur,ID53,Indonesia,ID,1576800000000,1585699200000,NA
139,Adainasnosen,ID9409060009,NA,NA,NA,Samofa,ID9409060,Biak Numfor,ID9409,Papua,ID94,Indonesia,ID,1576800000000,1585699200000,NA
140,Adaka Jaya,ID7405021011,NA,NA,NA,Buke,ID7405021,Konawe Selatan,ID7405,Sulawesi Tenggara,ID74,Indonesia,ID,1576800000000,1585699200000,NA
141,Adam,ID1214021002,NA,NA,NA,Pulau-Pulau Batu Timur,ID1214021,Nias Selatan,ID1214,Sumatera Utara,ID12,Indonesia,ID,1576800000000,1585699200000,NA
142,Adan,ID1112020008,NA,NA,NA,Tangan-Tangan,ID1112020,Aceh Barat Daya,ID1112,Aceh,ID11,Indonesia,ID,1576800000000,1585699200000,NA
143,Adan,ID1118030031,NA,NA,NA,Bandar Dua,ID1118030,Pidie Jaya,ID1118,Aceh,ID11,Indonesia,ID,1576800000000,1585699200000,NA
144,Adan-Adan,ID3506100021,NA,NA,NA,Gurah,ID3506100,Kediri,ID3506,Jawa Timur,ID35,Indonesia,ID,1576800000000,1585699200000,NA
145,Adang,ID5307060022,NA,NA,NA,Alor Barat Laut,ID5307060,Alor,ID5307,Nusa Tenggara Timur,ID53,Indonesia,ID,1576800000000,1585699200000,NA
146,Adang Beurabo,ID1109140037,NA,NA,NA,Padang Tiji,ID1109140,Pidie,ID1109,Aceh,ID11,Indonesia,ID,1576800000000,1585699200000,NA
