OBJECTID,admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
882,La Magdalena Contreras,MX09008,NA,NA,NA,Distrito Federal,MX09,México,MX,1517529600000,1592438400000,NA
883,La Magdalena Tlaltelulco,MX29048,NA,NA,NA,Tlaxcala,MX29,México,MX,1517529600000,1592438400000,NA
884,La Magdalena Tlatlauquitepec,MX21095,NA,NA,NA,Puebla,MX21,México,MX,1517529600000,1592438400000,NA
885,La Manzanilla de la Paz,MX14057,NA,NA,NA,Jalisco,MX14,México,MX,1517529600000,1592438400000,NA
886,La Misión,MX13040,La Mision,NA,NA,Hidalgo,MX13,México,MX,1517529600000,1592438400000,NA
887,La Paz,MX03003,NA,NA,NA,Baja California Sur,MX03,México,MX,1517529600000,1592438400000,NA
888,La Paz,MX15070,NA,NA,NA,México,MX15,México,MX,1517529600000,1592438400000,NA
889,La Pe,MX20069,NA,NA,NA,Oaxaca,MX20,México,MX,1517529600000,1592438400000,NA
890,La Perla,MX30127,NA,NA,NA,Veracruz de Ignacio de la Llave,MX30,México,MX,1517529600000,1592438400000,NA
891,La Piedad,MX16069,NA,NA,NA,Michoacán de Ocampo,MX16,México,MX,1517529600000,1592438400000,NA
892,La Reforma,MX20076,NA,NA,NA,Oaxaca,MX20,México,MX,1517529600000,1592438400000,NA
893,La Trinidad Vista Hermosa,MX20556,NA,NA,NA,Oaxaca,MX20,México,MX,1517529600000,1592438400000,NA
894,La Trinitaria,MX07099,NA,NA,NA,Chiapas,MX07,México,MX,1517529600000,1592438400000,NA
895,La Unión de Isidoro Montes de Oca,MX12068,La Union de Isidoro Montes de Oca,NA,NA,Guerrero,MX12,México,MX,1517529600000,1592438400000,NA
896,La Yesca,MX18019,NA,NA,NA,Nayarit,MX18,México,MX,1517529600000,1592438400000,NA
897,Lafragua,MX21093,NA,NA,NA,Puebla,MX21,México,MX,1517529600000,1592438400000,NA
898,Lagos de Moreno,MX14053,NA,NA,NA,Jalisco,MX14,México,MX,1517529600000,1592438400000,NA
899,Lagunillas,MX16048,NA,NA,NA,Michoacán de Ocampo,MX16,México,MX,1517529600000,1592438400000,NA
900,Lagunillas,MX24019,NA,NA,NA,San Luis Potosí,MX24,México,MX,1517529600000,1592438400000,NA
901,Lamadrid,MX05016,NA,NA,NA,Coahuila de Zaragoza,MX05,México,MX,1517529600000,1592438400000,NA
902,Lampazos de Naranjo,MX19032,NA,NA,NA,Nuevo León,MX19,México,MX,1517529600000,1592438400000,NA
903,Landa de Matamoros,MX22010,NA,NA,NA,Querétaro de Arteaga,MX22,México,MX,1517529600000,1592438400000,NA
904,Landero y Coss,MX30096,NA,NA,NA,Veracruz de Ignacio de la Llave,MX30,México,MX,1517529600000,1592438400000,NA
905,Larráinzar,MX07049,Larrainzar,NA,NA,Chiapas,MX07,México,MX,1517529600000,1592438400000,NA
906,Las Choapas,MX30061,NA,NA,NA,Veracruz de Ignacio de la Llave,MX30,México,MX,1517529600000,1592438400000,NA
907,Las Margaritas,MX07052,NA,NA,NA,Chiapas,MX07,México,MX,1517529600000,1592438400000,NA
908,Las Minas,MX30107,NA,NA,NA,Veracruz de Ignacio de la Llave,MX30,México,MX,1517529600000,1592438400000,NA
909,Las Rosas,MX07075,NA,NA,NA,Chiapas,MX07,México,MX,1517529600000,1592438400000,NA
910,Las Vigas de Ramírez,MX30132,Las Vigas de Ramirez,NA,NA,Veracruz de Ignacio de la Llave,MX30,México,MX,1517529600000,1592438400000,NA
911,Lázaro Cárdenas,MX16052,Lazaro Cardenas,NA,NA,Michoacán de Ocampo,MX16,México,MX,1517529600000,1592438400000,NA
912,Lázaro Cárdenas,MX23007,Lazaro Cardenas,NA,NA,Quintana Roo,MX23,México,MX,1517529600000,1592438400000,NA
913,Lázaro Cárdenas,MX29047,Lazaro Cardenas,NA,NA,Tlaxcala,MX29,México,MX,1517529600000,1592438400000,NA
914,León,MX11020,Leon,NA,NA,Guanajuato,MX11,México,MX,1517529600000,1592438400000,NA
915,Leonardo Bravo,MX12040,NA,NA,NA,Guerrero,MX12,México,MX,1517529600000,1592438400000,NA
916,Lerdo,MX10012,NA,NA,NA,Durango,MX10,México,MX,1517529600000,1592438400000,NA
917,Lerdo de Tejada,MX30097,NA,NA,NA,Veracruz de Ignacio de la Llave,MX30,México,MX,1517529600000,1592438400000,NA
918,Lerma,MX15051,NA,NA,NA,México,MX15,México,MX,1517529600000,1592438400000,NA
919,Libres,MX21094,NA,NA,NA,Puebla,MX21,México,MX,1517529600000,1592438400000,NA
920,Linares,MX19033,NA,NA,NA,Nuevo León,MX19,México,MX,1517529600000,1592438400000,NA
921,Llera,MX28019,NA,NA,NA,Tamaulipas,MX28,México,MX,1517529600000,1592438400000,NA
922,Lolotla,MX13034,NA,NA,NA,Hidalgo,MX13,México,MX,1517529600000,1592438400000,NA
923,Loma Bonita,MX20044,NA,NA,NA,Oaxaca,MX20,México,MX,1517529600000,1592438400000,NA
924,López,MX08039,Lopez,NA,NA,Chihuahua,MX08,México,MX,1517529600000,1592438400000,NA
925,Loreto,MX03009,NA,NA,NA,Baja California Sur,MX03,México,MX,1517529600000,1592438400000,NA
926,Loreto,MX32024,NA,NA,NA,Zacatecas,MX32,México,MX,1517529600000,1592438400000,NA
927,Los Aldamas,MX19003,NA,NA,NA,Nuevo León,MX19,México,MX,1517529600000,1592438400000,NA
928,Los Cabos,MX03008,NA,NA,NA,Baja California Sur,MX03,México,MX,1517529600000,1592438400000,NA
929,Los Herreras,MX19027,NA,NA,NA,Nuevo León,MX19,México,MX,1517529600000,1592438400000,NA
930,Los Ramones,MX19042,NA,NA,NA,Nuevo León,MX19,México,MX,1517529600000,1592438400000,NA
931,Los Reyes,MX16075,NA,NA,NA,Michoacán de Ocampo,MX16,México,MX,1517529600000,1592438400000,NA
932,Los Reyes,MX30137,NA,NA,NA,Veracruz de Ignacio de la Llave,MX30,México,MX,1517529600000,1592438400000,NA
933,Los Reyes de Juárez,MX21118,Los Reyes de Juarez,NA,NA,Puebla,MX21,México,MX,1517529600000,1592438400000,NA
934,Luis Moya,MX32025,NA,NA,NA,Zacatecas,MX32,México,MX,1517529600000,1592438400000,NA
935,Luvianos,MX15123,NA,NA,NA,México,MX15,México,MX,1517529600000,1592438400000,NA
936,Macuspana,MX27012,NA,NA,NA,Tabasco,MX27,México,MX,1517529600000,1592438400000,NA
937,Madera,MX08040,NA,NA,NA,Chihuahua,MX08,México,MX,1517529600000,1592438400000,NA
938,Madero,MX16049,NA,NA,NA,Michoacán de Ocampo,MX16,México,MX,1517529600000,1592438400000,NA
939,Magdalena,MX14055,NA,NA,NA,Jalisco,MX14,México,MX,1517529600000,1592438400000,NA
940,Magdalena,MX26036,NA,NA,NA,Sonora,MX26,México,MX,1517529600000,1592438400000,NA
941,Magdalena,MX30098,NA,NA,NA,Veracruz de Ignacio de la Llave,MX30,México,MX,1517529600000,1592438400000,NA
942,Magdalena Apasco,MX20045,NA,NA,NA,Oaxaca,MX20,México,MX,1517529600000,1592438400000,NA
943,Magdalena Jaltepec,MX20046,NA,NA,NA,Oaxaca,MX20,México,MX,1517529600000,1592438400000,NA
944,Magdalena Mixtepec,MX20048,NA,NA,NA,Oaxaca,MX20,México,MX,1517529600000,1592438400000,NA
945,Magdalena Ocotlán,MX20049,Magdalena Ocotlan,NA,NA,Oaxaca,MX20,México,MX,1517529600000,1592438400000,NA
946,Magdalena Peñasco,MX20050,Magdalena Penasco,NA,NA,Oaxaca,MX20,México,MX,1517529600000,1592438400000,NA
947,Magdalena Teitipac,MX20051,NA,NA,NA,Oaxaca,MX20,México,MX,1517529600000,1592438400000,NA
948,Magdalena Tequisistlán,MX20052,Magdalena Tequisistlan,NA,NA,Oaxaca,MX20,México,MX,1517529600000,1592438400000,NA
949,Magdalena Tlacotepec,MX20053,NA,NA,NA,Oaxaca,MX20,México,MX,1517529600000,1592438400000,NA
950,Magdalena Yodocono de Porfirio Díaz,MX20562,Magdalena Yodocono de Porfirio Diaz,NA,NA,Oaxaca,MX20,México,MX,1517529600000,1592438400000,NA
951,Magdalena Zahuatlán,MX20054,Magdalena Zahuatlan,NA,NA,Oaxaca,MX20,México,MX,1517529600000,1592438400000,NA
952,Maguarichi,MX08041,NA,NA,NA,Chihuahua,MX08,México,MX,1517529600000,1592438400000,NA
953,Mainero,MX28020,NA,NA,NA,Tamaulipas,MX28,México,MX,1517529600000,1592438400000,NA
954,Malinalco,MX15052,NA,NA,NA,México,MX15,México,MX,1517529600000,1592438400000,NA
955,Malinaltepec,MX12041,NA,NA,NA,Guerrero,MX12,México,MX,1517529600000,1592438400000,NA
956,Maltrata,MX30099,NA,NA,NA,Veracruz de Ignacio de la Llave,MX30,México,MX,1517529600000,1592438400000,NA
957,Mama,MX31046,NA,NA,NA,Yucatán,MX31,México,MX,1517529600000,1592438400000,NA
958,Maní,MX31047,Mani,NA,NA,Yucatán,MX31,México,MX,1517529600000,1592438400000,NA
959,Manlio Fabio Altamirano,MX30100,NA,NA,NA,Veracruz de Ignacio de la Llave,MX30,México,MX,1517529600000,1592438400000,NA
960,Manuel Benavides,MX08042,NA,NA,NA,Chihuahua,MX08,México,MX,1517529600000,1592438400000,NA
961,Manuel Doblado,MX11008,NA,NA,NA,Guanajuato,MX11,México,MX,1517529600000,1592438400000,NA
962,Manzanillo,MX06007,NA,NA,NA,Colima,MX06,México,MX,1517529600000,1592438400000,NA
963,Mapastepec,MX07051,NA,NA,NA,Chiapas,MX07,México,MX,1517529600000,1592438400000,NA
964,Mapimí,MX10013,Mapimi,NA,NA,Durango,MX10,México,MX,1517529600000,1592438400000,NA
965,Maravatío,MX16050,Maravatio,NA,NA,Michoacán de Ocampo,MX16,México,MX,1517529600000,1592438400000,NA
966,Maravilla Tenejapa,MX07115,NA,NA,NA,Chiapas,MX07,México,MX,1517529600000,1592438400000,NA
967,Marcos Castellanos,MX16051,NA,NA,NA,Michoacán de Ocampo,MX16,México,MX,1517529600000,1592438400000,NA
