OBJECTID,admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_en,admin0Name_es,admin0Pcode,date,validOn,validTo
77,Baños,EC010151,Banos,NA,NA,Cuenca,EC0101,Azuay,EC01,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
78,Baños de Agua Santa,EC180250,Banos de Agua Santa,NA,NA,Baños de Agua Santa,EC1802,Tungurahua,EC18,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
79,Baquerizo Moreno,EC180851,NA,NA,NA,Santiago de Pillaro,EC1808,Tungurahua,EC18,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
80,Barbones (Sucre),EC070651,NA,NA,NA,El Guabo,EC0706,El Oro,EC07,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
81,Barraganete,EC131151,NA,NA,NA,Pichincha,EC1311,Manabi,EC13,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
82,Belisario Quevedo (Guanailin),EC050152,NA,NA,NA,Latacunga,EC0501,Cotopaxi,EC05,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
83,Bellamaria,EC070451,NA,NA,NA,Balsas,EC0704,El Oro,EC07,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
84,Bellamaria,EC071257,NA,NA,NA,Santa Rosa,EC0712,El Oro,EC07,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
85,Bellavista,EC071251,NA,NA,NA,Santa Rosa,EC0712,El Oro,EC07,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
86,Bellavista,EC110651,NA,NA,NA,Espindola,EC1106,Loja,EC11,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
87,Bellavista,EC131651,NA,NA,NA,24 de Mayo,EC1316,Manabi,EC13,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
88,Bellavista,EC190951,NA,NA,NA,Paquisha,EC1909,Zamora Chinchipe,EC19,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
89,Bellavista,EC200351,NA,NA,NA,Santa Cruz,EC2003,Galapagos,EC20,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
90,Benitez (Pachanlica),EC180751,NA,NA,NA,San Pedro de Pelileo,EC1807,Tungurahua,EC18,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
91,Bermejos,EC140252,NA,NA,NA,Gualaquiza,EC1402,Morona Santiago,EC14,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
92,Biblian,EC030250,NA,NA,NA,Biblian,EC0302,Cañar,EC03,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
93,Bilbao (Cab. en Quilluyacu),EC060956,NA,NA,NA,Penipe,EC0609,Chimborazo,EC06,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
94,Bilovan,EC020552,NA,NA,NA,San Miguel,EC0205,Bolivar,EC02,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
95,Bolaspamba,EC111355,NA,NA,NA,Zapotillo,EC1113,Loja,EC11,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
96,Bolivar,EC040250,NA,NA,NA,Bolivar,EC0402,Carchi,EC04,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
97,Bolivar,EC080351,NA,NA,NA,Muisne,EC0803,Esmeraldas,EC08,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
98,Bolivar,EC180752,NA,NA,NA,San Pedro de Pelileo,EC1807,Tungurahua,EC18,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
99,Bomboiza,EC140253,NA,NA,NA,Gualaquiza,EC1402,Morona Santiago,EC14,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
100,Borbon,EC080253,NA,NA,NA,Eloy Alfaro,EC0802,Esmeraldas,EC08,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
101,Boyaca,EC130351,NA,NA,NA,Chone,EC1303,Manabi,EC13,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
102,Buenavista,EC070951,NA,NA,NA,Pasaje,EC0709,El Oro,EC07,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
103,Buenavista,EC110551,NA,NA,NA,Chaguarpamba,EC1105,Loja,EC11,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
104,Bulan (Jose Victor Izquierdo),EC010552,NA,NA,NA,Paute,EC0105,Azuay,EC01,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
105,Cacha (Cab. en Machangara),EC060151,NA,NA,NA,Riobamba,EC0601,Chimborazo,EC06,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
106,Cahuasqui,EC100651,NA,NA,NA,San Miguel de Urcuqui,EC1006,Imbabura,EC10,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
107,Calacali,EC170154,NA,NA,NA,Quito,EC1701,Pichincha,EC17,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
108,Calceta,EC130250,NA,NA,NA,Bolivar,EC1302,Manabi,EC13,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
109,Calderon,EC080553,NA,NA,NA,San Lorenzo,EC0805,Esmeraldas,EC08,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
110,Calderon (Carapungo),EC170155,NA,NA,NA,Quito,EC1701,Pichincha,EC17,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
111,Calpi,EC060152,NA,NA,NA,Riobamba,EC0601,Chimborazo,EC06,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
112,Caluma,EC020650,NA,NA,NA,Caluma,EC0206,Bolivar,EC02,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
113,Camarones (Cab. en San Vicente),EC080152,NA,NA,NA,Esmeraldas,EC0801,Esmeraldas,EC08,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
114,Camilo Ponce Enriquez,EC011550,NA,NA,NA,Camilo Ponce Enriquez,EC0115,Azuay,EC01,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
115,Campozano (La Palma de Pajan),EC131051,NA,NA,NA,Pajan,EC1310,Manabi,EC13,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
116,Cañaquemada,EC070956,Canaquemada,NA,NA,Pasaje,EC0709,El Oro,EC07,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
117,Cañar,EC030350,Canar,NA,NA,Cañar,EC0303,Cañar,EC03,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
118,Canchagua,EC050651,NA,NA,NA,Saquisili,EC0506,Cotopaxi,EC05,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
119,Canelos,EC160152,NA,NA,NA,Pastaza,EC1601,Pastaza,EC16,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
120,Cangahua,EC170252,NA,NA,NA,Cayambe,EC1702,Pichincha,EC17,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
121,Cangonama,EC110951,NA,NA,NA,Paltas,EC1109,Loja,EC11,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
122,Cañi,EC060351,Cani,NA,NA,Colta,EC0603,Chimborazo,EC06,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
123,Canoa,EC132251,NA,NA,NA,San Vicente,EC1322,Manabi,EC13,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
124,Canuto,EC130352,NA,NA,NA,Chone,EC1303,Manabi,EC13,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
125,Capiro (Cab. en la Capilla de Capiro),EC071051,NA,NA,NA,Piñas,EC0710,El Oro,EC07,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
126,Capitan Augusto Rivadeneyra,EC220251,NA,NA,NA,Aguarico,EC2202,Orellana,EC22,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
127,Capzol,EC060551,NA,NA,NA,Chunchi,EC0605,Chimborazo,EC06,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
128,Caracol,EC120152,NA,NA,NA,Babahoyo,EC1201,Los Rios,EC12,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
129,Carcabon,EC070255,NA,NA,NA,Arenillas,EC0702,El Oro,EC07,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
130,Cariamanga,EC110250,NA,NA,NA,Calvas,EC1102,Loja,EC11,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
131,Carlos Julio Arosemena Tola,EC150950,NA,NA,NA,Carlos Julio Arosemena Tola,EC1509,Napo,EC15,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
132,Carolina,EC100153,NA,NA,NA,Ibarra,EC1001,Imbabura,EC10,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
133,Carondelet,EC080554,NA,NA,NA,San Lorenzo,EC0805,Esmeraldas,EC08,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
134,Casacay,EC070952,NA,NA,NA,Pasaje,EC0709,El Oro,EC07,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
135,Casanga,EC110958,NA,NA,NA,Paltas,EC1109,Loja,EC11,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
136,Cascol,EC131052,NA,NA,NA,Pajan,EC1310,Manabi,EC13,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
137,Catacocha,EC110950,NA,NA,NA,Paltas,EC1109,Loja,EC11,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
138,Catamayo (La Toma),EC110350,NA,NA,NA,Catamayo,EC1103,Loja,EC11,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
139,Catarama,EC120650,NA,NA,NA,Urdaneta,EC1206,Los Rios,EC12,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
140,Cayambe,EC170250,NA,NA,NA,Cayambe,EC1702,Pichincha,EC17,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
141,Cazaderos,EC111356,NA,NA,NA,Zapotillo,EC1113,Loja,EC11,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
142,Cebadas,EC060651,NA,NA,NA,Guamote,EC0606,Chimborazo,EC06,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
143,Celica,EC110450,NA,NA,NA,Celica,EC1104,Loja,EC11,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
144,Cevallos,EC180350,NA,NA,NA,Cevallos,EC1803,Tungurahua,EC18,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
145,Chacarita,EC120753,NA,NA,NA,Ventanas,EC1207,Los Rios,EC12,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
146,Chacras,EC070251,NA,NA,NA,Arenillas,EC0702,El Oro,EC07,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
147,Chaguarpamba,EC110550,NA,NA,NA,Chaguarpamba,EC1105,Loja,EC11,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
148,Chambo,EC060450,NA,NA,NA,Chambo,EC0604,Chimborazo,EC06,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
149,Chanduy,EC240153,NA,NA,NA,Santa Elena,EC2401,Santa Elena,EC24,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
150,Changaimina (La Libertad),EC110751,NA,NA,NA,Gonzanama,EC1107,Loja,EC11,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
151,Chantaco,EC110151,NA,NA,NA,Loja,EC1101,Loja,EC11,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
152,Chantilin,EC050652,NA,NA,NA,Saquisili,EC0506,Cotopaxi,EC05,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
153,Chaquinal,EC111451,NA,NA,NA,Pindal,EC1114,Loja,EC11,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
154,Charapoto,EC131453,NA,NA,NA,Sucre,EC1314,Manabi,EC13,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
155,Chaucha,EC010153,NA,NA,NA,Cuenca,EC0101,Azuay,EC01,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
156,Chavezpamba,EC170158,NA,NA,NA,Quito,EC1701,Pichincha,EC17,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
157,Checa (Chilpa),EC170159,NA,NA,NA,Quito,EC1701,Pichincha,EC17,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
158,Checa (Jidcay),EC010154,NA,NA,NA,Cuenca,EC0101,Azuay,EC01,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
159,Chibunga,EC130354,NA,NA,NA,Chone,EC1303,Manabi,EC13,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
160,Chican (Guillermo Ortega),EC010553,NA,NA,NA,Paute,EC0105,Azuay,EC01,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
161,Chicaña,EC190551,Chicana,NA,NA,Yantzaza,EC1905,Zamora Chinchipe,EC19,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
162,Chiguaza,EC140751,NA,NA,NA,Huamboya,EC1407,Morona Santiago,EC14,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
163,Chiguinda,EC140254,NA,NA,NA,Gualaquiza,EC1402,Morona Santiago,EC14,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
164,Chilla,EC070550,NA,NA,NA,Chilla,EC0705,El Oro,EC07,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
165,Chillanes,EC020250,NA,NA,NA,Chillanes,EC0202,Bolivar,EC02,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
166,Chinca,EC080154,NA,NA,NA,Esmeraldas,EC0801,Esmeraldas,EC08,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
167,Chiquicha (Cab. en Chiquicha Grande),EC180754,NA,NA,NA,San Pedro de Pelileo,EC1807,Tungurahua,EC18,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
168,Chiquintad,EC010155,NA,NA,NA,Cuenca,EC0101,Azuay,EC01,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
169,Chirijos,EC130157,NA,NA,NA,Portoviejo,EC1301,Manabi,EC13,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
170,Chitan de Navarrete,EC040552,NA,NA,NA,Montufar,EC0405,Carchi,EC04,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
171,Chito,EC190251,NA,NA,NA,Chinchipe,EC1902,Zamora Chinchipe,EC19,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
172,Chobo,EC091051,NA,NA,NA,Milagro,EC0910,Guayas,EC09,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
173,Chone,EC130350,NA,NA,NA,Chone,EC1303,Manabi,EC13,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
174,Chontaduro,EC080751,NA,NA,NA,Rioverde,EC0807,Esmeraldas,EC08,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
175,Chontamarca,EC030351,NA,NA,NA,Cañar,EC0303,Cañar,EC03,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
