OBJECTID,admin3Name_pt,admin3Pcode,admin3RefName,admin3AltName1_pt,admin3AltName2_pt,admin2Name_pt,admin2Pcode,admin1Name_pt,admin1Pcode,admin0Name_en,admin0Name_pt,admin0Pcode,date,validOn,validTo
345,Nicoadala,MZ112201,NA,NA,NA,Nicoadala,MZ1122,Zambezia,MZ11,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
346,Nihessiue,MZ071803,NA,NA,NA,Murrupula,MZ0718,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
347,Nipepe,MZ081802,NA,NA,NA,Nipepe,MZ0818,Niassa,MZ08,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
348,Nova Mambone,MZ030301,NA,NA,NA,Govuro,MZ0303,Inhambane,MZ03,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
349,Nsadzu,MZ100403,NA,NA,NA,Chifunde,MZ1004,Tete,MZ10,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
350,Ntengo-Wa-Mbalame,MZ101401,NA,NA,NA,Tsangano,MZ1014,Tete,MZ10,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
351,Ntlavene,MZ021003,NA,NA,NA,Mabalane,MZ0210,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
352,Nungo,MZ081003,NA,NA,NA,Marrupa,MZ0810,Niassa,MZ08,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
353,Ocua,MZ010306,NA,NA,NA,Chiure,MZ0103,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
354,Olumbi,MZ011601,NA,NA,NA,Palma,MZ0116,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
355,Pafuri,MZ020301,NA,NA,NA,Chicualacuala,MZ0203,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
356,Palma,MZ011602,NA,NA,NA,Palma,MZ0116,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
357,Palmeira,MZ050405,NA,NA,NA,Manhiça,MZ0504,Maputo,MZ05,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
358,Panda,MZ031202,NA,NA,NA,Panda,MZ0312,Inhambane,MZ03,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
359,Panjane,MZ050305,NA,NA,NA,Magude,MZ0503,Maputo,MZ05,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
360,Papai,MZ011406,NA,NA,NA,Namuno,MZ0114,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
361,Pebane,MZ112303,NA,NA,NA,Pebane,MZ1123,Zambezia,MZ11,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
362,Pembe,MZ030402,NA,NA,NA,Homoine,MZ0304,Inhambane,MZ03,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
363,Pessene,MZ050702,NA,NA,NA,Moamba,MZ0507,Maputo,MZ05,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
364,Praia De Bilene,MZ020105,NA,NA,NA,Bilene,MZ0201,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
365,Pundanhar,MZ011603,NA,NA,NA,Palma,MZ0116,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
366,Quinga,MZ070702,NA,NA,NA,Liúpo,MZ0707,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
367,Quionga,MZ011604,NA,NA,NA,Palma,MZ0116,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
368,Quirimba,MZ010502,NA,NA,NA,Ibo,MZ0105,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
369,Quissanga,MZ011803,NA,NA,NA,Quissanga,MZ0118,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
370,Quissico,MZ031401,NA,NA,NA,Zavala,MZ0314,Inhambane,MZ03,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
371,Quiterajo,MZ010604,NA,NA,NA,Macomia,MZ0106,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
372,Quixaxe,MZ071202,NA,NA,NA,Mogincual,MZ0712,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
373,Rapale,MZ072204,NA,NA,NA,Rapale,MZ0722,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
374,Regone,MZ112102,NA,NA,NA,Namarroi,MZ1121,Zambezia,MZ11,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
375,Ressano Garcia,MZ050703,NA,NA,NA,Moamba,MZ0507,Maputo,MZ05,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
376,Ribaue,MZ072303,NA,NA,NA,Ribaue,MZ0723,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
377,Rotanda,MZ041003,NA,NA,NA,Sussundenga,MZ0410,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
378,Sabie,MZ050704,NA,NA,NA,Moamba,MZ0507,Maputo,MZ05,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
379,Saua-Saua,MZ072103,NA,NA,NA,Nacaroa,MZ0721,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
380,Save,MZ030302,NA,NA,NA,Govuro,MZ0303,Inhambane,MZ03,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
381,Save,MZ040602,NA,NA,NA,Machaze,MZ0406,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
382,Sena,MZ090203,NA,NA,NA,Caia,MZ0902,Sofala,MZ09,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
383,Socone,MZ110702,NA,NA,NA,Ile,MZ1107,Zambezia,MZ11,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
384,Sofala,MZ090103,NA,NA,NA,Buzi,MZ0901,Sofala,MZ09,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
385,Songo,MZ100203,NA,NA,NA,Cahora Bassa,MZ1002,Tete,MZ10,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
386,Subwe,MZ091003,NA,NA,NA,Maringue,MZ0910,Sofala,MZ09,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
387,Sussundenga,MZ041004,NA,NA,NA,Sussundenga,MZ0410,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
388,Tacuane,MZ111004,NA,NA,NA,Lugela,MZ1110,Zambezia,MZ11,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
389,Tica,MZ091302,NA,NA,NA,Nhamatanda,MZ0913,Sofala,MZ09,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
390,Tome,MZ030202,NA,NA,NA,Funhalouro,MZ0302,Inhambane,MZ03,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
391,Tsangano,MZ101402,NA,NA,NA,Tsangano,MZ1014,Tete,MZ10,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
392,Ulongue,MZ100102,NA,NA,NA,Angonia,MZ1001,Tete,MZ10,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
393,Unango,MZ081904,NA,NA,NA,Sanga,MZ0819,Niassa,MZ08,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
394,Urrene,MZ031203,NA,NA,NA,Panda,MZ0312,Inhambane,MZ03,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
395,Vanduzi,MZ041202,NA,NA,NA,Vanduzi,MZ0412,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
396,Vanduzi,MZ090803,NA,NA,NA,Gorongosa,MZ0908,Sofala,MZ09,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
397,Vila Eduardo Mondlane,MZ020302,NA,NA,NA,Chicualacuala,MZ0203,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
398,Vilankulo,MZ031302,NA,NA,NA,Vilankulo,MZ0313,Inhambane,MZ03,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
399,Xhalala,MZ021105,NA,NA,NA,Mandlakaze,MZ0211,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
400,Xilembene,MZ020504,NA,NA,NA,Chokwe,MZ0205,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
401,Xinavane,MZ050406,NA,NA,NA,Manhiça,MZ0504,Maputo,MZ05,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
402,Zambue,MZ101502,NA,NA,NA,Zumbu,MZ1015,Tete,MZ10,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
403,Zandamela,MZ031402,NA,NA,NA,Zavala,MZ0314,Inhambane,MZ03,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
404,Zembe,MZ040502,NA,NA,NA,Macate,MZ0405,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
405,Zimane,MZ030802,NA,NA,NA,Mabote,MZ0308,Inhambane,MZ03,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
406,Zinave,MZ030803,NA,NA,NA,Mabote,MZ0308,Inhambane,MZ03,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
407,Zitundo,MZ050605,NA,NA,NA,Matutuine,MZ0506,Maputo,MZ05,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
408,Zobue,MZ101203,NA,NA,NA,Moatize,MZ1012,Tete,MZ10,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
409,Zongoene,MZ020903,NA,NA,NA,Limpopo,MZ0209,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
410,Zulo,MZ021403,NA,NA,NA,Massingir,MZ0214,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
411,Zumbu,MZ101503,NA,NA,NA,Zumbu,MZ1015,Tete,MZ10,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
