OBJECTID,admin4Name_en,admin4Pcode,admin4RefName,admin4AltName1_en,admin4AltName2_en,admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
517,Kacheri,UG30800101,NA,NA,NA,Jie,UG308001,Kotido,UG3080,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
518,Kachomo,UG20280202,NA,NA,NA,Iki-Iki,UG202802,Budaka,UG2028,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
519,Kachonga,UG20360109,NA,NA,NA,Bunyole,UG203601,Butaleja,UG2036,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
520,Kachumbala,UG20320103,NA,NA,NA,Bukedea,UG203201,Bukedea,UG2032,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
521,Kadama,UG20480105,NA,NA,NA,Kibuku,UG204801,Kibuku,UG2048,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
522,Kaderuna,UG20280103,NA,NA,NA,Budaka,UG202801,Budaka,UG2028,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
523,Kadungulu,UG20600102,NA,NA,NA,Kasilo,UG206001,Serere,UG2060,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
524,Kadungulu Town Council,UG20600103,NA,NA,NA,Kasilo,UG206001,Serere,UG2060,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
525,Kafunjo-Mirama Town Council,UG41290302,NA,NA,NA,Ruhaama,UG412903,Ntungamo,UG4129,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
526,Kagadi,UG41110104,NA,NA,NA,Buyaga,UG411101,Kagadi,UG4111,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
527,Kagadi  Town Council,UG41110105,NA,NA,NA,Buyaga,UG411101,Kagadi,UG4111,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
528,Kagamba,UG10240104,NA,NA,NA,Kooki,UG102401,Rakai,UG1024,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
529,Kagango Division,UG41070203,NA,NA,NA,Ibanda Municipality,UG410702,Ibanda,UG4107,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
530,Kagango Division,UG41350202,NA,NA,NA,Sheema Municipality,UG413502,Sheema,UG4135,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
531,Kagarama Town Council,UG41290103,NA,NA,NA,Kajara,UG412901,Ntungamo,UG4129,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
532,Kagongi,UG41260104,NA,NA,NA,Kashari,UG412601,Mbarara,UG4126,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
533,Kagugu,UG41030105,NA,NA,NA,Bughendera,UG410301,Bundibugyo,UG4103,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
534,Kagulu,UG20380104,NA,NA,NA,Budiope,UG203801,Buyende,UG2038,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
535,Kagumba,UG20440104,NA,NA,NA,Bugabula,UG204401,Kamuli,UG2044,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
536,Kagumu,UG20480106,NA,NA,NA,Kibuku,UG204801,Kibuku,UG2048,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
537,Kaharo,UG41090203,NA,NA,NA,Ndorwa,UG410902,Kabale,UG4109,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
538,Kahoora Divison,UG41060203,NA,NA,NA,Hoima Municipality,UG410602,Hoima,UG4106,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
539,Kahunge,UG41130106,NA,NA,NA,Kibale,UG411301,Kamwenge,UG4113,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
540,Kahunge Town Council,UG41130107,NA,NA,NA,Kibale,UG411301,Kamwenge,UG4113,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
541,Kajjansi Town Council,UG10260102,NA,NA,NA,Busiro,UG102601,Wakiso,UG1026,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
542,Kakabara,UG41230103,NA,NA,NA,Kyaka,UG412301,Kyegegwa,UG4123,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
543,Kakamar,UG30750104,NA,NA,NA,Dodoth,UG307501,Kaabong,UG3075,Northern,UG3,Uganda,UG,1591833600000,1598227200000,NA
544,Kakamba,UG41080103,NA,NA,NA,Bukanga,UG410801,Isingiro,UG4108,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
545,Kakanju,UG41050204,NA,NA,NA,Igara,UG410502,Bushenyi,UG4105,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
546,Kakiika Division,UG41260105,NA,NA,NA,Kashari,UG412601,Mbarara,UG4126,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
547,Kakindo,UG41120103,NA,NA,NA,Bugangaizi,UG411201,Kakumiro,UG4112,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
548,Kakindo Town Council,UG41350102,NA,NA,NA,Sheema,UG413501,Sheema,UG4135,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
549,Kakindu,UG10180103,NA,NA,NA,Busujju,UG101801,Mityana,UG1018,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
550,Kakira Town Council,UG20400103,NA,NA,NA,Butembe,UG204001,Jinja,UG2040,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
551,Kakiri,UG10260103,NA,NA,NA,Busiro,UG102601,Wakiso,UG1026,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
