OBJECTID,admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
370,Okrouyo,CI260405,NA,NA,NA,Soubré,CI2604,Nawa,CI26,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
371,Olodio,CI290206,NA,NA,NA,Tabou,CI2902,San Pedro,CI29,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
372,Ondéfidouo,CI080103,Ondefidouo,NA,NA,Bouna,CI0801,Bounkani,CI08,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
373,Oress-Krobou,CI030110,NA,NA,NA,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
374,Ouangolodougou,CI310301,NA,NA,NA,Ouangolodougou,CI3103,Tchologo,CI31,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
375,Ouaninou,CI040201,NA,NA,NA,Ouaninou,CI0402,Bafing,CI04,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
376,Ouellé,CI190106,Ouelle,NA,NA,Daoukro,CI1901,Iffou,CI19,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
377,Oumé,CI130201,Oume,NA,NA,Oumé,CI1302,Goh,CI13,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
378,Oupoyo,CI260302,NA,NA,NA,Méagui,CI2603,Nawa,CI26,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
379,Ouragahio,CI130110,NA,NA,NA,Gagnoa,CI1301,Goh,CI13,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
380,Ouyably-Gnondrou,CI160403,NA,NA,NA,Kouibly,CI1604,Guemon,CI16,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
381,Pacobo,CI030302,NA,NA,NA,Taabo,CI0303,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
382,Pakouabo,CI230105,NA,NA,NA,Bouaflé,CI2301,Marahoue,CI23,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
383,Papara,CI050304,NA,NA,NA,Tengrela,CI0503,Bagoue,CI05,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
384,Parc National de Bona,CI080104,NA,NA,NA,Bouna,CI0801,Bounkani,CI08,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
385,Péhé,CI090405,Pehe,NA,NA,Toulepleu,CI0904,Cavally,CI09,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
386,Pinda-Boroko,CI140106,NA,NA,NA,Bondoukou,CI1401,Gontougo,CI14,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
387,Podiagouiné,CI320306,Podiagouine,NA,NA,Man,CI3203,Tonkpi,CI32,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
388,Prikro,CI190301,NA,NA,NA,Prikro,CI1903,Iffou,CI19,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
389,Raviart,CI060104,NA,NA,NA,Didievi,CI0601,Belier,CI06,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
390,Rubino,CI030111,NA,NA,NA,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
391,Saboudougou,CI040205,NA,NA,NA,Ouaninou,CI0402,Bafing,CI04,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
392,Sago,CI120206,NA,NA,NA,Sassandra,CI1202,Gbokle,CI12,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
393,Saïoua,CI180206,Saioua,NA,NA,Issia,CI1802,Haut-Sassandra,CI18,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
394,Sakassou,CI110401,NA,NA,NA,Sakassou,CI1104,Gbeke,CI11,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
395,Samango,CI210102,NA,NA,NA,Gbeleban,CI2101,Kabadougou,CI21,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
396,Samanza,CI190107,NA,NA,NA,Daoukro,CI1901,Iffou,CI19,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
397,Samatiguila,CI210401,NA,NA,NA,Samatiguila,CI2104,Kabadougou,CI21,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
398,San-Pédro,CI290101,San-Pedro,NA,NA,San Pédro,CI2901,San Pedro,CI29,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
399,Sandégué,CI140301,Sandegue,NA,NA,Sandegue,CI1403,Gontougo,CI14,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
400,Sandougou-Soba,CI320307,NA,NA,NA,Man,CI3203,Tonkpi,CI32,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
401,Sangouiné,CI320308,Sangouine,NA,NA,Man,CI3203,Tonkpi,CI32,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
402,Santa,CI040206,NA,NA,NA,Ouaninou,CI0402,Bafing,CI04,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
403,Santa,CI320107,NA,NA,NA,Biankouma,CI3201,Tonkpi,CI32,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
404,Sapli-Sépingo,CI140107,Sapli-Sepingo,NA,NA,Bondoukou,CI1401,Gontougo,CI14,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
405,Sarhala,CI070304,NA,NA,NA,Mankono,CI0703,Bere,CI07,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
406,Sassandra,CI120201,NA,NA,NA,Sassandra,CI1202,Gbokle,CI12,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
407,Satama-Sokoro,CI170106,NA,NA,NA,Dabakala,CI1701,Hambol,CI17,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
408,Satama-Sokoura,CI170107,NA,NA,NA,Dabakala,CI1701,Hambol,CI17,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
409,Sédiogo,CI280404,Sediogo,NA,NA,Sinématiali,CI2804,Poro,CI28,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
410,Séguéla,CI330201,Seguela,NA,NA,Séguéla,CI3302,Worodougou,CI33,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
411,Séguélon,CI210501,Seguelon,NA,NA,Séguélon,CI2105,Kabadougou,CI21,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
412,Seileu,CI320206,NA,NA,NA,Danané,CI3202,Tonkpi,CI32,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
413,Seitifla,CI180306,NA,NA,NA,Vavoua,CI1803,Haut-Sassandra,CI18,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
414,Sémien,CI160304,Semien,NA,NA,Facobly,CI1603,Guemon,CI16,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
415,Sérihio,CI130111,Serihio,NA,NA,Gagnoa,CI1301,Goh,CI13,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
416,Seydougou,CI210103,NA,NA,NA,Gbeleban,CI2101,Kabadougou,CI21,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
417,Sianhala,CI050205,NA,NA,NA,Kouto,CI0502,Bagoue,CI05,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
418,Siempurgo,CI050105,NA,NA,NA,Boundiali,CI0501,Bagoue,CI05,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
419,Sifié,CI330206,Sifie,NA,NA,Séguéla,CI3302,Worodougou,CI33,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
420,Sikensi,CI030201,NA,NA,NA,Sikensi,CI0302,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
421,Sikolo,CI310204,NA,NA,NA,Kong,CI3102,Tchologo,CI31,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
422,Sinématiali,CI280401,Sinematiali,NA,NA,Sinématiali,CI2804,Poro,CI28,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
423,Sinfra,CI230201,NA,NA,NA,Sinfra,CI2302,Marahoue,CI23,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
424,Sipilou,CI320401,NA,NA,NA,Sipilou,CI3204,Tonkpi,CI32,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
425,Sirasso,CI280214,NA,NA,NA,Korhogo,CI2802,Poro,CI28,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
426,Sohouo,CI280215,NA,NA,NA,Korhogo,CI2802,Poro,CI28,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
427,Sokala-Sobara,CI170108,NA,NA,NA,Dabakala,CI1701,Hambol,CI17,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
428,Sokoro,CI100203,NA,NA,NA,Minignan,CI1002,Folon,CI10,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
429,Sominassé,CI080305,Sominasse,NA,NA,Nassian,CI0803,Bounkani,CI08,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
430,Songon,CI010105,NA,NA,NA,Abidjan,CI0101,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
431,Sorobango,CI140108,NA,NA,NA,Bondoukou,CI1401,Gontougo,CI14,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
432,Soubre,CI260401,NA,NA,NA,Soubré,CI2604,Nawa,CI26,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
433,Taabo,CI030301,NA,NA,NA,Taabo,CI0303,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
434,Tabagne,CI140109,NA,NA,NA,Bondoukou,CI1401,Gontougo,CI14,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
435,Tabou,CI290201,NA,NA,NA,Tabou,CI2902,San Pedro,CI29,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
436,Tafiré,CI170305,Tafire,NA,NA,Niakaramandougou,CI1703,Hambol,CI17,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
437,Tagadi,CI140110,NA,NA,NA,Bondoukou,CI1401,Gontougo,CI14,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
438,Taï,CI090301,Tai,NA,NA,Taï,CI0903,Cavally,CI09,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
439,Tanda,CI140401,NA,NA,NA,Tanda,CI1404,Gontougo,CI14,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
440,Tanguélan,CI200205,Tanguelan,NA,NA,Agnibilékrou,CI2002,Indenie-Djuablin,CI20,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
441,Tankessé,CI140205,Tankesse,NA,NA,Koun Fao,CI1402,Gontougo,CI14,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
442,Taoudi,CI140111,NA,NA,NA,Bondoukou,CI1401,Gontougo,CI14,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
443,Tapéguia,CI180207,Tapeguia,NA,NA,Issia,CI1802,Haut-Sassandra,CI18,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
444,Tchèdio,CI140404,Tchedio,NA,NA,Tanda,CI1404,Gontougo,CI14,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
445,Téapleu,CI320505,Teapleu,NA,NA,Zouan-Hounien,CI3205,Tonkpi,CI32,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
446,Téhini,CI080401,Tehini,NA,NA,Téhini,CI0804,Bounkani,CI08,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
447,Tendéné-Bambarasso,CI170109,Tendene-Bambarasso,NA,NA,Dabakala,CI1701,Hambol,CI17,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
448,Tengrela,CI050301,NA,NA,NA,Tengrela,CI0503,Bagoue,CI05,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
449,Tiapoum,CI300401,NA,NA,NA,Tiapoum,CI3004,Sud-Comoe,CI30,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
450,Tiassalé,CI030401,Tiassale,NA,NA,Tiassalé,CI0304,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
451,Tibéita,CI230106,Tibeita,NA,NA,Bouaflé,CI2301,Marahoue,CI23,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
452,Tie N'Diékro,CI060105,Tie NDiékro,NA,NA,Didievi,CI0601,Belier,CI06,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
453,Tiébissou,CI060301,Tiebissou,NA,NA,Tiébissou,CI0603,Belier,CI06,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
454,Tiémé,CI210305,Tieme,NA,NA,Odienne,CI2103,Kabadougou,CI21,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
