OBJECTID,admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_en,admin0Name_es,admin0Pcode,date,validOn,validTo
1690,Tarata,PE230401,NA,NA,NA,Tarata,PE2304,Tacna,PE23,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1691,Taray,PE080407,NA,NA,NA,Calca,PE0804,Cusco,PE08,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1692,Tarica,PE020112,NA,NA,NA,Huaraz,PE0201,Ancash,PE02,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1693,Tarma,PE120701,NA,NA,NA,Tarma,PE1207,Junin,PE12,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1694,Tarucachi,PE230407,NA,NA,NA,Tarata,PE2304,Tacna,PE23,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1695,Tate,PE110113,NA,NA,NA,Ica,PE1101,Ica,PE11,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1696,Tauca,PE021511,NA,NA,NA,Pallasca,PE0215,Ancash,PE02,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1697,Tauria,PE040809,NA,NA,NA,La Union,PE0408,Arequipa,PE04,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1698,Taurija,PE130812,NA,NA,NA,Pataz,PE1308,La Libertad,PE13,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1699,Tauripampa,PE151029,NA,NA,NA,Yauyos,PE1510,Lima,PE15,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1700,Tayabamba,PE130801,NA,NA,NA,Pataz,PE1308,La Libertad,PE13,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1701,Teniente Cesar Lopez Rojas,PE160211,NA,NA,NA,Alto Amazonas,PE1602,Loreto,PE16,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1702,Teniente Manuel Clavero,PE160803,NA,NA,NA,Putumayo,PE1608,Loreto,PE16,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1703,Tiabaya,PE040123,NA,NA,NA,Arequipa,PE0401,Arequipa,PE04,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1704,Tibillo,PE110405,NA,NA,NA,Palpa,PE1104,Ica,PE11,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1705,Ticaco,PE230408,NA,NA,NA,Tarata,PE2304,Tacna,PE23,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1706,Ticapampa,PE021710,NA,NA,NA,Recuay,PE0217,Ancash,PE02,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1707,Ticlacayan,PE190110,NA,NA,NA,Pasco,PE1901,Pasco,PE19,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1708,Ticllos,PE020515,NA,NA,NA,Bolognesi,PE0205,Ancash,PE02,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1709,Ticrapo,PE090413,NA,NA,NA,Castrovirreyna,PE0904,Huancavelica,PE09,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1710,Tigre,PE160303,NA,NA,NA,Loreto,PE1603,Loreto,PE16,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1711,Tilali,PE210904,NA,NA,NA,Moho,PE2109,Puno,PE21,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1712,Tinco,PE020610,NA,NA,NA,Carhuaz,PE0206,Ancash,PE02,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1713,Tingo,PE010522,NA,NA,NA,Luya,PE0105,Amazonas,PE01,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1714,Tingo de Ponasa,PE220709,NA,NA,NA,Picota,PE2207,San Martin,PE22,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1715,Tingo de Saposoa,PE220406,NA,NA,NA,Huallaga,PE2204,San Martin,PE22,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1716,Tinicachi,PE211306,NA,NA,NA,Yunguyo,PE2113,Puno,PE21,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1717,Tinta,PE080608,NA,NA,NA,Canchis,PE0806,Cusco,PE08,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1718,Tintay,PE030415,NA,NA,NA,Aymaraes,PE0304,Apurimac,PE03,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1719,Tintay Puncu,PE090718,NA,NA,NA,Tayacaja,PE0907,Huancavelica,PE09,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1720,Tinyahuarco,PE190111,NA,NA,NA,Pasco,PE1901,Pasco,PE19,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1721,Tipan,PE040411,NA,NA,NA,Castilla,PE0404,Arequipa,PE04,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1722,Tiquillaca,PE210114,NA,NA,NA,Puno,PE2101,Puno,PE21,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1723,Tirapata,PE210215,NA,NA,NA,Azangaro,PE2102,Puno,PE21,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1724,Tisco,PE040517,NA,NA,NA,Caylloma,PE0405,Arequipa,PE04,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1725,Tocache,PE221001,NA,NA,NA,Tocache,PE2210,San Martin,PE22,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1726,Tocmoche,PE060418,NA,NA,NA,Chota,PE0604,Cajamarca,PE06,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1727,Tomas,PE151030,NA,NA,NA,Yauyos,PE1510,Lima,PE15,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1728,Tomay Kichwa,PE100208,NA,NA,NA,Ambo,PE1002,Huanuco,PE10,Peru,Perú (el),PE,1437696000000,1594684800000,NA
