admin0Name,admin0Name_da,admin0Pcode,admin1Name,admin1Name_da,admin1Pcode,admin2AltName1,admin2AltName1_da,admin2AltName2,admin2AltName2_da,admin2Name,admin2Name_da,admin2Pcode,admin2RefName,regionCode,regionName,regionName_da,admin2Name_ref,admin1Name_ref,admin0Name_ref
Afghanistan,افغانستان,AF,Kandahar,کندهار,AF27,NA,NA,NA,NA,Shah Wali Kot,شاه ولی کوت,AF2706,NA,SR,Southern,جنوبی حوزه,shah_wali_kot,kandahar,afghanistan
Afghanistan,افغانستان,AF,Uruzgan,ارزگان,AF25,Charchino,NA,NA,NA,Shahid-e-Hassas,شهید حساس,AF2504,NA,SR,Southern,جنوبی حوزه,shahid_e_hassas,uruzgan,afghanistan
Afghanistan,افغانستان,AF,Badakhshan,بدخشان,AF17,NA,NA,NA,NA,Shahr-e-Buzorg,شهر بزرگ,AF1713,NA,NE,North Eastern,سهیل ختیځه حوزه,shahr_e_buzorg,badakhshan,afghanistan
Afghanistan,افغانستان,AF,Ghor,غور,AF23,NA,NA,NA,NA,Shahrak,شهرک,AF2306,NA,WR,Western,لویدیځه حوزه,shahrak,ghor,afghanistan
Afghanistan,افغانستان,AF,Daykundi,دایکندی,AF24,NA,NA,NA,NA,Shahrestan,شهرستان,AF2402,NA,CH,Central Highland,لوړه مرکزی حوزه,shahrestan,daykundi,afghanistan
Afghanistan,افغانستان,AF,Kabul,کابل,AF01,NA,NA,NA,NA,Shakar Dara,شکردره,AF0106,NA,CR,Capital,مرکزی حوزه,shakar_dara,kabul,afghanistan
Afghanistan,افغانستان,AF,Badakhshan,بدخشان,AF17,NA,NA,NA,NA,Shaki,شکی,AF1724,NA,NE,North Eastern,سهیل ختیځه حوزه,shaki,badakhshan,afghanistan
Afghanistan,افغانستان,AF,Khost,خوست,AF14,Dowa Mandi,NA,NA,NA,Shamal,شمل,AF1412,NA,SE,South Eastern,جنوب ختیځه حوزه,shamal,khost,afghanistan
Afghanistan,افغانستان,AF,Zabul,زابل,AF26,NA,NA,NA,NA,Shamul Zayi,شملزائی,AF2610,NA,SR,Southern,جنوبی حوزه,shamul_zayi,zabul,afghanistan
Afghanistan,افغانستان,AF,Balkh,بلخ,AF21,NA,NA,NA,NA,Sharak-e-Hayratan,شهرک حیرتان,AF2116,NA,NR,Northern,سهیلی حوزه,sharak_e_hayratan,balkh,afghanistan
Afghanistan,افغانستان,AF,Paktika,پکتیکا,AF12,Centre,NA,NA,NA,Sharan,شرن,AF1201,NA,SE,South Eastern,جنوب ختیځه حوزه,sharan,paktika,afghanistan
Afghanistan,افغانستان,AF,Paktya,پکتیا,AF13,NA,NA,NA,NA,Shawak,شواک,AF1304,NA,SE,South Eastern,جنوب ختیځه حوزه,shawak,paktya,afghanistan
Afghanistan,افغانستان,AF,Parwan,پروان,AF03,NA,NA,NA,NA,Shekh Ali,شیخ علی,AF0310,NA,CR,Capital,مرکزی حوزه,shekh_ali,parwan,afghanistan
Afghanistan,افغانستان,AF,Nangarhar,ننگرهار,AF06,NA,NA,NA,NA,Sherzad,شیرزاد,AF0619,NA,ER,Eastern,ختیځه حوزه,sherzad,nangarhar,afghanistan
Afghanistan,افغانستان,AF,Bamyan,بامیان,AF10,NA,NA,NA,NA,Shibar,شیبر,AF1002,NA,CH,Central Highland,لوړه مرکزی حوزه,shibar,bamyan,afghanistan
Afghanistan,افغانستان,AF,Jawzjan,جوزجان,AF28,Centre,NA,NA,NA,Shiberghan,شبرغان,AF2801,NA,NR,Northern,سهیلی حوزه,shiberghan,jawzjan,afghanistan
Afghanistan,افغانستان,AF,Farah,فراه,AF33,NA,NA,NA,NA,Shibkoh,شیب کوه,AF3305,NA,WR,Western,لویدیځه حوزه,shibkoh,farah,afghanistan
Afghanistan,افغانستان,AF,Kunar,کنر ها,AF15,NA,NA,NA,NA,Shigal,شیگل وشلتن,AF1506,NA,ER,Eastern,ختیځه حوزه,shigal,kunar,afghanistan
Afghanistan,افغانستان,AF,Badakhshan,بدخشان,AF17,NA,NA,NA,NA,Shighnan,شغنان,AF1719,NA,NE,North Eastern,سهیل ختیځه حوزه,shighnan,badakhshan,afghanistan
Afghanistan,افغانستان,AF,Hirat,هرات,AF32,NA,NA,NA,NA,Shindand,شیندند,AF3214,NA,WR,Western,لویدیځه حوزه,shindand,hirat,afghanistan
Afghanistan,افغانستان,AF,Zabul,زابل,AF26,NA,NA,NA,NA,Shinkay,شینکی,AF2603,NA,SR,Southern,جنوبی حوزه,shinkay,zabul,afghanistan
Afghanistan,افغانستان,AF,Nangarhar,ننگرهار,AF06,Ghani Khail,NA,NA,NA,Shinwar,شینوار,AF0616,NA,ER,Eastern,ختیځه حوزه,shinwar,nangarhar,afghanistan
Afghanistan,افغانستان,AF,Parwan,پروان,AF03,NA,NA,NA,NA,Shinwari,شینواری,AF0303,NA,CR,Capital,مرکزی حوزه,shinwari,parwan,afghanistan
