OBJECTID,admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_en,admin0Name_es,admin0Pcode,date,validOn,validTo
1089,El Amparo,VE090602,NA,NA,NA,Ricaurte,VE0906,Cojedes,VE09,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
1090,San Andrés,VE221002,San Andres,NA,NA,Peña,VE2210,Yaracuy,VE22,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
1091,Santa Isabel,VE210101,NA,NA,NA,Andrés Bello,VE2101,Trujillo,VE21,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
1092,Adicora,VE110902,NA,NA,NA,Falcón,VE1109,Falcón,VE11,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
1093,Los Taques,VE111201,NA,NA,NA,Los Taques,VE1112,Falcón,VE11,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
1094,Chichiriviche,VE111501,NA,NA,NA,Monseñor Iturriza,VE1115,Falcón,VE11,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
1095,Machurucuto,VE151602,NA,NA,NA,Pedro Gual,VE1516,Miranda,VE15,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
1096,Puerto Miranda,VE120102,NA,NA,NA,Camaguan,VE1201,Guárico,VE12,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
1097,Apurito,VE040102,NA,NA,NA,Achaguas,VE0401,Apure,VE04,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
1098,Capital Tulio Febres Cordero,VE142201,NA,NA,NA,Tulio Febres Cordero,VE1422,Mérida,VE14,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
1099,Presidente Betancourt,VE140101,NA,NA,NA,Alberto Adriani,VE1401,Mérida,VE14,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
1100,Presidente Páez,VE140102,Presidente Paez,NA,NA,Alberto Adriani,VE1401,Mérida,VE14,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),VE,1525219200000,1614038400000,NA
