OBJECTID,admin4Name_en,admin4Pcode,admin4RefName,admin4AltName1_en,admin4AltName2_en,admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
5005,Ward No-22,BD50812222,NA,NA,NA,Boalia,BD508122,Rajshahi,BD5081,Rajshahi,BD50,Bangladesh,BD,1420070400000,1605225600000,NA
5006,Ward No-22,BD60916222,NA,NA,NA,Sylhet Sadar,BD609162,Sylhet,BD6091,Sylhet,BD60,Bangladesh,BD,1420070400000,1605225600000,NA
5007,Ward No-23,BD10065123,NA,NA,NA,Barisal Sadar (Kotwali),BD100651,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,1420070400000,1605225600000,NA
5008,Ward No-23,BD20152823,NA,NA,NA,Double Mooring,BD201528,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
5009,Ward No-23,BD30266723,NA,NA,NA,Rampura,BD302667,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
5010,Ward No-23,BD40475123,NA,NA,NA,Khulna Sadar,BD404751,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,1420070400000,1605225600000,NA
5011,Ward No-23,BD50812223,NA,NA,NA,Boalia,BD508122,Rajshahi,BD5081,Rajshahi,BD50,Bangladesh,BD,1420070400000,1605225600000,NA
5012,Ward No-23,BD60916223,NA,NA,NA,Sylhet Sadar,BD609162,Sylhet,BD6091,Sylhet,BD60,Bangladesh,BD,1420070400000,1605225600000,NA
5013,Ward No-24,BD10065124,NA,NA,NA,Barisal Sadar (Kotwali),BD100651,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,1420070400000,1605225600000,NA
5014,Ward No-24,BD30263624,NA,NA,NA,Khilgaon,BD302636,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
5015,Ward No-24,BD40475124,NA,NA,NA,Khulna Sadar,BD404751,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,1420070400000,1605225600000,NA
5016,Ward No-24,BD50812224,NA,NA,NA,Boalia,BD508122,Rajshahi,BD5081,Rajshahi,BD50,Bangladesh,BD,1420070400000,1605225600000,NA
5017,Ward No-24,BD60916224,NA,NA,NA,Sylhet Sadar,BD609162,Sylhet,BD6091,Sylhet,BD60,Bangladesh,BD,1420070400000,1605225600000,NA
5018,Ward No-24 (part),BD20152824,NA,NA,NA,Double Mooring,BD201528,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
5019,Ward No-24 (part),BD20153524,NA,NA,NA,Halishahar,BD201535,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
5020,Ward No-25,BD10065125,NA,NA,NA,Barisal Sadar (Kotwali),BD100651,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,1420070400000,1605225600000,NA
5021,Ward No-25,BD20153525,NA,NA,NA,Halishahar,BD201535,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
5022,Ward No-25,BD30263625,NA,NA,NA,Khilgaon,BD302636,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
5023,Ward No-25,BD40478525,NA,NA,NA,Sonadanga,BD404785,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,1420070400000,1605225600000,NA
5024,Ward No-25,BD50812225,NA,NA,NA,Boalia,BD508122,Rajshahi,BD5081,Rajshahi,BD50,Bangladesh,BD,1420070400000,1605225600000,NA
5025,Ward No-25,BD60916225,NA,NA,NA,Sylhet Sadar,BD609162,Sylhet,BD6091,Sylhet,BD60,Bangladesh,BD,1420070400000,1605225600000,NA
5026,Ward No-26,BD10065126,NA,NA,NA,Barisal Sadar (Kotwali),BD100651,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,1420070400000,1605225600000,NA
5027,Ward No-26,BD20153526,NA,NA,NA,Halishahar,BD201535,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
5028,Ward No-26,BD30263626,NA,NA,NA,Khilgaon,BD302636,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
5029,Ward No-26,BD40478526,NA,NA,NA,Sonadanga,BD404785,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,1420070400000,1605225600000,NA
5030,Ward No-26,BD50812226,NA,NA,NA,Boalia,BD508122,Rajshahi,BD5081,Rajshahi,BD50,Bangladesh,BD,1420070400000,1605225600000,NA
5031,Ward No-26,BD60916226,NA,NA,NA,Sylhet Sadar,BD609162,Sylhet,BD6091,Sylhet,BD60,Bangladesh,BD,1420070400000,1605225600000,NA
5032,Ward No-27,BD10065127,NA,NA,NA,Barisal Sadar (Kotwali),BD100651,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,1420070400000,1605225600000,NA
5033,Ward No-27,BD20152827,NA,NA,NA,Double Mooring,BD201528,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
5034,Ward No-27,BD30266827,NA,NA,NA,Sabujbagh,BD302668,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
5035,Ward No-27,BD40475127,NA,NA,NA,Khulna Sadar,BD404751,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,1420070400000,1605225600000,NA
5036,Ward No-27,BD50812227,NA,NA,NA,Boalia,BD508122,Rajshahi,BD5081,Rajshahi,BD50,Bangladesh,BD,1420070400000,1605225600000,NA
5037,Ward No-27,BD60916227,NA,NA,NA,Sylhet Sadar,BD609162,Sylhet,BD6091,Sylhet,BD60,Bangladesh,BD,1420070400000,1605225600000,NA
5038,Ward No-28,BD10065128,NA,NA,NA,Barisal Sadar (Kotwali),BD100651,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,1420070400000,1605225600000,NA
5039,Ward No-28,BD20152828,NA,NA,NA,Double Mooring,BD201528,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
5040,Ward No-28,BD30266828,NA,NA,NA,Sabujbagh,BD302668,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
5041,Ward No-28,BD40475128,NA,NA,NA,Khulna Sadar,BD404751,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,1420070400000,1605225600000,NA
5042,Ward No-28,BD50814028,NA,NA,NA,Matihar,BD508140,Rajshahi,BD5081,Rajshahi,BD50,Bangladesh,BD,1420070400000,1605225600000,NA
5043,Ward No-29,BD10065129,NA,NA,NA,Barisal Sadar (Kotwali),BD100651,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,1420070400000,1605225600000,NA
5044,Ward No-29,BD20152829,NA,NA,NA,Double Mooring,BD201528,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
5045,Ward No-29,BD30266829,NA,NA,NA,Sabujbagh,BD302668,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
5046,Ward No-29,BD40475129,NA,NA,NA,Khulna Sadar,BD404751,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,1420070400000,1605225600000,NA
5047,Ward No-29,BD50814029,NA,NA,NA,Matihar,BD508140,Rajshahi,BD5081,Rajshahi,BD50,Bangladesh,BD,1420070400000,1605225600000,NA
5048,Ward No-30,BD10065130,NA,NA,NA,Barisal Sadar (Kotwali),BD100651,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,1420070400000,1605225600000,NA
5049,Ward No-30,BD30266830,NA,NA,NA,Sabujbagh,BD302668,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
5050,Ward No-30,BD40475130,NA,NA,NA,Khulna Sadar,BD404751,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,1420070400000,1605225600000,NA
5051,Ward No-30,BD50814030,NA,NA,NA,Matihar,BD508140,Rajshahi,BD5081,Rajshahi,BD50,Bangladesh,BD,1420070400000,1605225600000,NA
5052,Ward No-30 (Part),BD20152830,NA,NA,NA,Double Mooring,BD201528,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
5053,Ward No-30 (Part),BD20154130,NA,NA,NA,Kotwali,BD201541,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
5054,Ward No-31,BD20154131,NA,NA,NA,Kotwali,BD201541,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
5055,Ward No-31,BD30265431,NA,NA,NA,Motijheel,BD302654,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
5056,Ward No-31,BD40475131,NA,NA,NA,Khulna Sadar,BD404751,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,1420070400000,1605225600000,NA
5057,Ward No-32,BD20154132,NA,NA,NA,Kotwali,BD201541,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
5058,Ward No-32,BD30265432,NA,NA,NA,Motijheel,BD302654,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
5059,Ward No-33,BD20154133,NA,NA,NA,Kotwali,BD201541,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
5060,Ward No-33,BD30265433,NA,NA,NA,Motijheel,BD302654,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
5061,Ward No-34,BD20154134,NA,NA,NA,Kotwali,BD201541,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
5062,Ward No-34,BD30265434,NA,NA,NA,Motijheel,BD302654,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
5063,Ward No-35,BD30265435,NA,NA,NA,Motijheel,BD302654,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
5064,Ward No-35 (part),BD20151035,NA,NA,NA,Bakalia,BD201510,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
5065,Ward No-35 (part),BD20154135,NA,NA,NA,Kotwali,BD201541,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
