OBJECTID,admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ar,admin2AltName2_ar,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,ValidTo
125,Daraw,مركز دراو,EG2806,Daraw,NA,NA,NA,NA,Aswan,أسوان,EG28,Egypt,مِصر,EG,1136073600000,1492732800000,NA
126,Dayrut,مركز ديروط,EG2510,Dayrut,NA,NA,NA,NA,Assiut,أسيوط,EG25,Egypt,مِصر,EG,1136073600000,1492732800000,NA
127,Dikirnis,مركز دكرنس,EG1209,Dikirnis,NA,NA,NA,NA,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,1136073600000,1492732800000,NA
128,Dishna,مركز دشنا,EG2706,Dishna,NA,NA,NA,NA,Qena,قنا,EG27,Egypt,مِصر,EG,1136073600000,1492732800000,NA
129,Disuq,قسم دسوق,EG1505,Disuq,NA,NA,NA,NA,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,1136073600000,1492732800000,NA
130,Disuq,مركز دسوق,EG1506,Disuq,NA,NA,NA,NA,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,1136073600000,1492732800000,NA
131,Dumyat,مركز دمياط,EG1102,Dumyat,NA,NA,NA,NA,Damietta,دمياط,EG11,Egypt,مِصر,EG,1136073600000,1492732800000,NA
132,Dumyat 1,قسم أول دمياط,EG1101,Dumyat 1,NA,NA,NA,NA,Damietta,دمياط,EG11,Egypt,مِصر,EG,1136073600000,1492732800000,NA
133,Dumyat 2,قسم ثان دمياط,EG1109,Dumyat 2,NA,NA,NA,NA,Damietta,دمياط,EG11,Egypt,مِصر,EG,1136073600000,1492732800000,NA
134,Dumyat Al-Gadida,قسم مدينه دمياط الجديده,EG1105,Dumyat Al-Gadida,NA,NA,NA,NA,Damietta,دمياط,EG11,Egypt,مِصر,EG,1136073600000,1492732800000,NA
135,DuqqI,قسم الدقي,EG2103,DuqqI,NA,NA,NA,NA,Giza,الجيزة,EG21,Egypt,مِصر,EG,1136073600000,1492732800000,NA
136,Dyarb Nigm,مركز ديرب نجم,EG1310,Dyarb Nigm,NA,NA,NA,NA,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,1136073600000,1492732800000,NA
137,E Mansora 2,قسم ثان المنصورة,EG1202,E Mansora 2,NA,NA,NA,NA,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,1136073600000,1492732800000,NA
138,El-Ibrahimiya,مركز الأبراهيمية,EG1317,El-Ibrahimiya,NA,NA,NA,NA,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,1136073600000,1492732800000,NA
139,El Arish 1,قسم أول العريش,EG3401,El Arish 1,NA,NA,NA,NA,North Sinai,شمال سيناء,EG34,Egypt,مِصر,EG,1136073600000,1492732800000,NA
140,El Arish 2,قسم ثان العريش,EG3402,El Arish 2,NA,NA,NA,NA,North Sinai,شمال سيناء,EG34,Egypt,مِصر,EG,1136073600000,1492732800000,NA
