OBJECTID,admin3Name_en,admin3Name_th,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_th,admin3AltName2_th,admin2Name_en,admin2Name_th,admin2Pcode,admin1Name_en,admin1Name_th,admin1Pcode,admin0Name_en,admin0Name_th,admin0Pcode,date,validOn,validTo
2507,Khon Sai,คอนสาย,TH412404,NA,NA,NA,NA,NA,Ku Kaeo,กู่แก้ว,TH4124,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2508,Khon San,คอนสาร,TH361301,NA,NA,NA,NA,NA,Khon San,คอนสาร,TH3613,Chaiyaphum,ชัยภูมิ,TH36,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2509,Khon Sawan,คอนสวรรค์,TH360301,NA,NA,NA,NA,NA,Khon Sawan,คอนสวรรค์,TH3603,Chaiyaphum,ชัยภูมิ,TH36,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2510,Khon Sawan,คอนสวรรค์,TH470812,NA,NA,NA,NA,NA,Wanon Niwat,วานรนิวาส,TH4708,Sakon Nakhon,สกลนคร,TH47,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2511,Khon Taek,ขอนแตก,TH321002,NA,NA,NA,NA,NA,Sangkha,สังขะ,TH3210,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2512,Khon Yung,ขอนยูง,TH410203,NA,NA,NA,NA,NA,Kut Chap,กุดจับ,TH4102,Udon Thani,อุดรธานี,TH41,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2513,Khong Chai Phatthana,ฆ้องชัยพัฒนา,TH461801,NA,NA,NA,NA,NA,Khong Chai,ฆ้องชัย,TH4618,Kalasin,กาฬสินธุ์,TH46,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2514,Khong Chiam,โขงเจียม,TH340301,NA,NA,NA,NA,NA,Khong Chiam,โขงเจียม,TH3403,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2515,Khong Phai,โค้งไผ่,TH620410,NA,NA,NA,NA,NA,Khanu Woralaksaburi,ขาณุวรลักษบุรี,TH6204,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2516,Khong Yang,โค้งยาง,TH301806,NA,NA,NA,NA,NA,Sung Noen,สูงเนิน,TH3018,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2517,Khonthi,คณฑี,TH620111,NA,NA,NA,NA,NA,Mueang Kamphaeng Phet,เมืองกำแพงเพชร,TH6201,Kamphaeng Phet,กำแพงเพชร,TH62,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2518,Khorat,โคราช,TH301803,NA,NA,NA,NA,NA,Sung Noen,สูงเนิน,TH3018,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2519,Khosit,โฆษิต,TH960208,NA,NA,NA,NA,NA,Tak Bai,ตากใบ,TH9602,Narathiwat,นราธิวาส,TH96,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2520,Khotchasit,คชสิทธิ์,TH190303,NA,NA,NA,NA,NA,Nong Khae,หนองแค,TH1903,Saraburi,สระบุรี,TH19,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2521,Khreng,เคร็ง,TH800704,NA,NA,NA,NA,NA,Cha-Uat,ชะอวด,TH8007,Nakhon Si Thammarat,นครศรีธรรมราช,TH80,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2522,Khron,ครน,TH860707,NA,NA,NA,NA,NA,Sawi,สวี,TH8607,Chumphon,ชุมพร,TH86,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2523,Khrueng,ครึ่ง,TH570303,NA,NA,NA,NA,NA,Chiang Khong,เชียงของ,TH5703,Chiang Rai,เชียงราย,TH57,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2524,Khu,คู,TH900311,NA,NA,NA,NA,NA,Chana,จะนะ,TH9003,Songkhla,สงขลา,TH90,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2525,Khu Bang Luang,คูบางหลวง,TH130503,NA,NA,NA,NA,NA,Lat Lum Kaeo,ลาดหลุมแก้ว,TH1305,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2526,Khu Bua,คูบัว,TH700120,NA,NA,NA,NA,NA,Mueang Ratchaburi,เมืองราชบุรี,TH7001,Ratchaburi,ราชบุรี,TH70,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2527,Khu Fung Nuea,คู้ฝั่งเหนือ,TH100306,NA,NA,NA,NA,NA,Nong Chok,หนองจอก,TH1003,Bangkok,กรุงเทพมหานคร,TH10,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2528,Khu Kham,คูคำ,TH402104,NA,NA,NA,NA,NA,Sam Sung,ซำสูง,TH4021,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2529,Khu Khat,คูขาด,TH300402,NA,NA,NA,NA,NA,Khong,คง,TH3004,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2530,Khu Khot,คูคต,TH130601,NA,NA,NA,NA,NA,Lam Luk Ka,ลำลูกกา,TH1306,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2531,Khu Khut,คูขุด,TH900207,NA,NA,NA,NA,NA,Sathing Phra,สทิงพระ,TH9002,Songkhla,สงขลา,TH90,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2532,Khu Khwang,คูขวาง,TH130504,NA,NA,NA,NA,NA,Lat Lum Kaeo,ลาดหลุมแก้ว,TH1305,Pathum Thani,ปทุมธานี,TH13,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2533,Khu Lamphan,คู้ลำพัน,TH250903,NA,NA,NA,NA,NA,Si Mahosot,ศรีมโหสถ,TH2509,Prachin Buri,ปราจีนบุรี,TH25,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2534,Khu Mueang,คูเมือง,TH310201,NA,NA,NA,NA,NA,Khu Mueang,คูเมือง,TH3102,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2535,Khu Mueang,คูเมือง,TH341507,NA,NA,NA,NA,NA,Warin Chamrap,วารินชำราบ,TH3415,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2536,Khu Mueang,คูเมือง,TH350603,NA,NA,NA,NA,NA,Maha Chana Chai,มหาชนะชัย,TH3506,Yasothon,ยโสธร,TH35,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2537,Khu Mueang,คูเมือง,TH360508,NA,NA,NA,NA,NA,Nong Bua Daeng,หนองบัวแดง,TH3605,Chaiyaphum,ชัยภูมิ,TH36,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2538,Khu Mueang,คูเมือง,TH451203,NA,NA,NA,NA,NA,Mueang Suang,เมืองสรวง,TH4512,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2539,Khu Ring,คุริง,TH860202,NA,NA,NA,NA,NA,Tha Sae,ท่าแซะ,TH8602,Chumphon,ชุมพร,TH86,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2540,Khu Sakham,คูสะคาม,TH470805,NA,NA,NA,NA,NA,Wanon Niwat,วานรนิวาส,TH4708,Sakon Nakhon,สกลนคร,TH47,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2541,Khu Salot,คู้สลอด,TH141006,NA,NA,NA,NA,NA,Lat Bua Luang,ลาดบัวหลวง,TH1410,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2542,Khu Sot,คูซอด,TH330103,NA,NA,NA,NA,NA,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2543,Khu Tan,คูตัน,TH320604,NA,NA,NA,NA,NA,Kap Choeng,กาบเชิง,TH3206,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2544,Khu Tao,คูเต่า,TH901103,NA,NA,NA,NA,NA,Hat Yai,หาดใหญ่,TH9011,Songkhla,สงขลา,TH90,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
