admin0Name_en,admin0Pcode,admin1Name_en,admin1Pcode,admin2Name_en,admin2Pcode,admin3AltName1_en,admin3AltName2_en,admin3Name_en,admin3Pcode,admin3RefName
Angola,AO,Zaire,AO18,Mbanza Congo,AO18159,NA,NA,Kiende,AO18159509,NA
Angola,AO,Cuanza Sul,AO07,Mussende,AO07055,NA,NA,Kienha,AO07055185,NA
Angola,AO,Huíla,AO09,Chibia,AO09070,NA,NA,Kihita,AO09070236,NA
Angola,AO,Malanje,AO14,Massango,AO14124,NA,NA,Kihuhu,AO14124403,NA
Angola,AO,Bengo,AO01,Dande,AO01002,NA,NA,Kikabo,AO01002006,NA
Angola,AO,Cuanza Norte,AO06,Banga,AO06038,NA,NA,Kikiemba,AO06038143,NA
Angola,AO,Cuanza Norte,AO06,Bolongongo,AO06039,NA,NA,Kikiemba,AO06039143,NA
Angola,AO,Luanda,AO11,Cacuaco,AO11092,NA,NA,Kikolo,AO11092300,NA
Angola,AO,Luanda,AO11,Cazenga,AO11093,NA,NA,Kikolo,AO11093300,NA
Angola,AO,Cuanza Sul,AO07,Sumbe (Ngangula),AO07060,NA,NA,Kikombo,AO07060201,NA
Angola,AO,Luanda,AO11,Luanda,AO11094,NA,NA,Kilamba Kiaxi,AO11094309,NA
Angola,AO,Luanda,AO11,Belas (Samba),AO11098,NA,NA,Kilamba Kiaxi,AO11098309,NA
Angola,AO,Cuanza Sul,AO07,Quilenda,AO07058,NA,NA,Kilenda,AO07058194,NA
Angola,AO,Huíla,AO09,Quilengues,AO09079,NA,NA,Kilengue,AO09079259,NA
Angola,AO,Huíla,AO09,Cacula,AO09165,NA,NA,Kilengue,AO09165259,NA
Angola,AO,Cuanza Norte,AO06,Ngonguembo,AO06046,NA,NA,Kilombo dos Dembos,AO06046164,NA
Angola,AO,Cuanza Norte,AO06,Golungo Alto,AO06044,NA,NA,Kiluanje,AO06044160,NA
Angola,AO,Malanje,AO14,Malanje,AO14122,NA,NA,Kimbamba,AO14122397,NA
Angola,AO,Malanje,AO14,Luquembo,AO14121,NA,NA,Kimbango,AO14121392,NA
Angola,AO,Uíge,AO17,Ambuíla,AO17143,NA,NA,Kimpetelu,AO17143463,NA
Angola,AO,Luanda,AO11,Luanda,AO11094,NA,NA,Kinanga,AO11094306,NA
Angola,AO,Zaire,AO18,N'Zeto,AO18160,NA,NA,Kindege,AO18160513,NA
Angola,AO,Malanje,AO14,Calandula,AO14115,NA,NA,Kinge,AO14115371,NA
Angola,AO,Zaire,AO18,Tomboco,AO18163,NA,NA,Kingombe,AO18163524,NA
Angola,AO,Malanje,AO14,Massango,AO14124,NA,NA,Kinguengue,AO14124404,NA
Angola,AO,Uíge,AO17,Songo,AO17156,NA,NA,Kinvuenga,AO17156504,NA
Angola,AO,Zaire,AO18,Tomboco,AO18163,NA,NA,Kinzau,AO18163525,NA
Angola,AO,Cuanza Sul,AO07,Quilenda,AO07058,NA,NA,Kirimbo,AO07058195,NA
Angola,AO,Cuanza Sul,AO07,Cela (Waku Kungo),AO07061,NA,NA,Kissanga Kungo,AO07061203,NA
Angola,AO,Uíge,AO17,Negage,AO17151,NA,NA,Kisseke,AO17151489,NA
