OBJECTID,admin3Name_en,admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_fr,admin3AltName2_fr,admin2Name_en,admin2Name_fr,admin2Pcode,admin1Name_en,admin1Name_fr,admin1Pcode,admin0Name_en,admin0Name_fr,admin0Pcode,date,validOn,validTo
166,NA,Kribi 2e,CM009003005,NA,NA,NA,NA,NA,NA,Océan,CM009003,South,Sud,CM009,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
167,NA,Kumba 1st,CM010005002,NA,NA,NA,NA,NA,NA,Meme,CM010005,South-West,Sud-Ouest,CM010,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
168,NA,Kumba 2nd,CM010005003,NA,NA,NA,NA,NA,NA,Meme,CM010005,South-West,Sud-Ouest,CM010,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
169,NA,Kumba 3rd,CM010005004,NA,NA,NA,NA,NA,NA,Meme,CM010005,South-West,Sud-Ouest,CM010,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
170,NA,Kumbo,CM007002002,NA,NA,NA,NA,NA,NA,Bui,CM007002,North-West,Nord-Ouest,CM007,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
171,NA,Kye-Ossi,CM009004002,NA,NA,NA,NA,NA,NA,Vallée-du-Ntem,CM009004,South,Sud,CM009,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
172,NA,Lagdo,CM006001008,NA,NA,NA,NA,NA,NA,Bénoué,CM006001,North,Nord,CM006,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
173,NA,Lembe Yezoum,CM002001002,NA,NA,NA,NA,NA,NA,Haute-Sanaga,CM002001,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
174,NA,Limbe 1st,CM010001002,NA,NA,NA,NA,NA,NA,Fako,CM010001,South-West,Sud-Ouest,CM010,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
175,NA,Limbe 2nd,CM010001003,NA,NA,NA,NA,NA,NA,Fako,CM010001,South-West,Sud-Ouest,CM010,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
176,NA,Limbe 3rd,CM010001004,NA,NA,NA,NA,NA,NA,Fako,CM010001,South-West,Sud-Ouest,CM010,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
177,NA,Lobo,CM002002005,NA,NA,NA,NA,NA,NA,Lekié,CM002002,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
178,NA,Logone-Birni,CM004002007,NA,NA,NA,NA,NA,NA,Logone-et-Chari,CM004002,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
