OBJECTID,admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
710,Puebloviejo,CO47570,NA,NA,NA,Magdalena,CO47,Colombia,CO,1514764800000,1586995200000,NA
711,Puente Nacional,CO68572,NA,NA,NA,Santander,CO68,Colombia,CO,1514764800000,1586995200000,NA
712,Puerres,CO52573,NA,NA,NA,Nariño,CO52,Colombia,CO,1514764800000,1586995200000,NA
713,Puerto Alegría,CO91530,Puerto Alegria,NA,NA,Amazonas,CO91,Colombia,CO,1514764800000,1586995200000,NA
714,Puerto Arica,CO91536,NA,NA,NA,Amazonas,CO91,Colombia,CO,1514764800000,1586995200000,NA
715,Puerto Asís,CO86568,Puerto Asis,NA,NA,Putumayo,CO86,Colombia,CO,1514764800000,1586995200000,NA
716,Puerto Berrío,CO05579,Puerto Berrio,NA,NA,Antioquia,CO05,Colombia,CO,1514764800000,1586995200000,NA
717,Puerto Boyacá,CO15572,Puerto Boyaca,NA,NA,Boyacá,CO15,Colombia,CO,1514764800000,1586995200000,NA
718,Puerto Caicedo,CO86569,NA,NA,NA,Putumayo,CO86,Colombia,CO,1514764800000,1586995200000,NA
719,Puerto Carreño,CO99001,Puerto Carreno,NA,NA,Vichada,CO99,Colombia,CO,1514764800000,1586995200000,NA
720,Puerto Colombia,CO08573,NA,NA,NA,Atlántico,CO08,Colombia,CO,1514764800000,1586995200000,NA
721,Puerto Colombia,CO94884,NA,NA,NA,Guainía,CO94,Colombia,CO,1514764800000,1586995200000,NA
722,Puerto Concordia,CO50450,NA,NA,NA,Meta,CO50,Colombia,CO,1514764800000,1586995200000,NA
723,Puerto Escondido,CO23574,NA,NA,NA,Córdoba,CO23,Colombia,CO,1514764800000,1586995200000,NA
724,Puerto Gaitán,CO50568,Puerto Gaitan,NA,NA,Meta,CO50,Colombia,CO,1514764800000,1586995200000,NA
725,Puerto Guzmán,CO86571,Puerto Guzman,NA,NA,Putumayo,CO86,Colombia,CO,1514764800000,1586995200000,NA
726,Puerto Leguízamo,CO86573,Puerto Leguizamo,NA,NA,Putumayo,CO86,Colombia,CO,1514764800000,1586995200000,NA
727,Puerto Libertador,CO23580,NA,NA,NA,Córdoba,CO23,Colombia,CO,1514764800000,1586995200000,NA
728,Puerto Lleras,CO50577,NA,NA,NA,Meta,CO50,Colombia,CO,1514764800000,1586995200000,NA
729,Puerto López,CO50573,Puerto Lopez,NA,NA,Meta,CO50,Colombia,CO,1514764800000,1586995200000,NA
730,Puerto Nare,CO05585,NA,NA,NA,Antioquia,CO05,Colombia,CO,1514764800000,1586995200000,NA
731,Puerto Nariño,CO91540,Puerto Narino,NA,NA,Amazonas,CO91,Colombia,CO,1514764800000,1586995200000,NA
732,Puerto Parra,CO68573,NA,NA,NA,Santander,CO68,Colombia,CO,1514764800000,1586995200000,NA
733,Puerto Rico,CO18592,NA,NA,NA,Caquetá,CO18,Colombia,CO,1514764800000,1586995200000,NA
734,Puerto Rico,CO50590,NA,NA,NA,Meta,CO50,Colombia,CO,1514764800000,1586995200000,NA
735,Puerto Rondón,CO81591,Puerto Rondon,NA,NA,Arauca,CO81,Colombia,CO,1514764800000,1586995200000,NA
736,Puerto Salgar,CO25572,NA,NA,NA,Cundinamarca,CO25,Colombia,CO,1514764800000,1586995200000,NA
737,Puerto Santander,CO54553,NA,NA,NA,Norte de Santander,CO54,Colombia,CO,1514764800000,1586995200000,NA
738,Puerto Santander,CO91669,NA,NA,NA,Amazonas,CO91,Colombia,CO,1514764800000,1586995200000,NA
739,Puerto Tejada,CO19573,NA,NA,NA,Cauca,CO19,Colombia,CO,1514764800000,1586995200000,NA
740,Puerto Triunfo,CO05591,NA,NA,NA,Antioquia,CO05,Colombia,CO,1514764800000,1586995200000,NA
741,Puerto Wilches,CO68575,NA,NA,NA,Santander,CO68,Colombia,CO,1514764800000,1586995200000,NA
742,Pulí,CO25580,Puli,NA,NA,Cundinamarca,CO25,Colombia,CO,1514764800000,1586995200000,NA
743,Pupiales,CO52585,NA,NA,NA,Nariño,CO52,Colombia,CO,1514764800000,1586995200000,NA
744,Puracé,CO19585,Purace,NA,NA,Cauca,CO19,Colombia,CO,1514764800000,1586995200000,NA
745,Purificación,CO73585,Purificacion,NA,NA,Tolima,CO73,Colombia,CO,1514764800000,1586995200000,NA
746,Purísima de la Concepción,CO23586,Purisima de la Concepcion,NA,NA,Córdoba,CO23,Colombia,CO,1514764800000,1586995200000,NA
747,Quebradanegra,CO25592,NA,NA,NA,Cundinamarca,CO25,Colombia,CO,1514764800000,1586995200000,NA
748,Quetame,CO25594,NA,NA,NA,Cundinamarca,CO25,Colombia,CO,1514764800000,1586995200000,NA
749,Quibdó,CO27001,Quibdo,NA,NA,Chocó,CO27,Colombia,CO,1514764800000,1586995200000,NA
750,Quimbaya,CO63594,NA,NA,NA,Quindio,CO63,Colombia,CO,1514764800000,1586995200000,NA
751,Quinchía,CO66594,Quinchia,NA,NA,Risaralda,CO66,Colombia,CO,1514764800000,1586995200000,NA
752,Quípama,CO15580,Quipama,NA,NA,Boyacá,CO15,Colombia,CO,1514764800000,1586995200000,NA
753,Quipile,CO25596,NA,NA,NA,Cundinamarca,CO25,Colombia,CO,1514764800000,1586995200000,NA
754,Ragonvalia,CO54599,NA,NA,NA,Norte de Santander,CO54,Colombia,CO,1514764800000,1586995200000,NA
755,Ramiriquí,CO15599,Ramiriqui,NA,NA,Boyacá,CO15,Colombia,CO,1514764800000,1586995200000,NA
756,Ráquira,CO15600,Raquira,NA,NA,Boyacá,CO15,Colombia,CO,1514764800000,1586995200000,NA
757,Recetor,CO85279,NA,NA,NA,Casanare,CO85,Colombia,CO,1514764800000,1586995200000,NA
758,Regidor,CO13580,NA,NA,NA,Bolívar,CO13,Colombia,CO,1514764800000,1586995200000,NA
759,Remedios,CO05604,NA,NA,NA,Antioquia,CO05,Colombia,CO,1514764800000,1586995200000,NA
760,Remolino,CO47605,NA,NA,NA,Magdalena,CO47,Colombia,CO,1514764800000,1586995200000,NA
761,Repelón,CO08606,Repelon,NA,NA,Atlántico,CO08,Colombia,CO,1514764800000,1586995200000,NA
762,Restrepo,CO50606,NA,NA,NA,Meta,CO50,Colombia,CO,1514764800000,1586995200000,NA
763,Restrepo,CO76606,NA,NA,NA,Valle del Cauca,CO76,Colombia,CO,1514764800000,1586995200000,NA
764,Retiro,CO05607,NA,NA,NA,Antioquia,CO05,Colombia,CO,1514764800000,1586995200000,NA
765,Ricaurte,CO25612,NA,NA,NA,Cundinamarca,CO25,Colombia,CO,1514764800000,1586995200000,NA
766,Ricaurte,CO52612,NA,NA,NA,Nariño,CO52,Colombia,CO,1514764800000,1586995200000,NA
767,Río de Oro,CO20614,Rio de Oro,NA,NA,Cesar,CO20,Colombia,CO,1514764800000,1586995200000,NA
768,Río Iró,CO27580,Rio Iro,NA,NA,Chocó,CO27,Colombia,CO,1514764800000,1586995200000,NA
769,Río Quito,CO27600,Rio Quito,NA,NA,Chocó,CO27,Colombia,CO,1514764800000,1586995200000,NA
770,Río Viejo,CO13600,Rio Viejo,NA,NA,Bolívar,CO13,Colombia,CO,1514764800000,1586995200000,NA
771,Rioblanco,CO73616,NA,NA,NA,Tolima,CO73,Colombia,CO,1514764800000,1586995200000,NA
772,Riofrío,CO76616,Riofrio,NA,NA,Valle del Cauca,CO76,Colombia,CO,1514764800000,1586995200000,NA
773,Riohacha,CO44001,NA,NA,NA,La Guajira,CO44,Colombia,CO,1514764800000,1586995200000,NA
774,Rionegro,CO05615,NA,NA,NA,Antioquia,CO05,Colombia,CO,1514764800000,1586995200000,NA
775,Rionegro,CO68615,NA,NA,NA,Santander,CO68,Colombia,CO,1514764800000,1586995200000,NA
776,Riosucio,CO17614,NA,NA,NA,Caldas,CO17,Colombia,CO,1514764800000,1586995200000,NA
777,Riosucio,CO27615,NA,NA,NA,Chocó,CO27,Colombia,CO,1514764800000,1586995200000,NA
778,Risaralda,CO17616,NA,NA,NA,Caldas,CO17,Colombia,CO,1514764800000,1586995200000,NA
779,Rivera,CO41615,NA,NA,NA,Huila,CO41,Colombia,CO,1514764800000,1586995200000,NA
780,Roberto Payán,CO52621,Roberto Payan,NA,NA,Nariño,CO52,Colombia,CO,1514764800000,1586995200000,NA
781,Roldanillo,CO76622,NA,NA,NA,Valle del Cauca,CO76,Colombia,CO,1514764800000,1586995200000,NA
782,Roncesvalles,CO73622,NA,NA,NA,Tolima,CO73,Colombia,CO,1514764800000,1586995200000,NA
783,Rondón,CO15621,Rondon,NA,NA,Boyacá,CO15,Colombia,CO,1514764800000,1586995200000,NA
784,Rosas,CO19622,NA,NA,NA,Cauca,CO19,Colombia,CO,1514764800000,1586995200000,NA
785,Rovira,CO73624,NA,NA,NA,Tolima,CO73,Colombia,CO,1514764800000,1586995200000,NA
786,Sabana de Torres,CO68655,NA,NA,NA,Santander,CO68,Colombia,CO,1514764800000,1586995200000,NA
787,Sabanagrande,CO08634,NA,NA,NA,Atlántico,CO08,Colombia,CO,1514764800000,1586995200000,NA
788,Sabanalarga,CO05628,NA,NA,NA,Antioquia,CO05,Colombia,CO,1514764800000,1586995200000,NA
789,Sabanalarga,CO08638,NA,NA,NA,Atlántico,CO08,Colombia,CO,1514764800000,1586995200000,NA
790,Sabanalarga,CO85300,NA,NA,NA,Casanare,CO85,Colombia,CO,1514764800000,1586995200000,NA
791,Sabanas de San Ángel,CO47660,Sabanas de San Ángel,NA,NA,Magdalena,CO47,Colombia,CO,1514764800000,1586995200000,NA
792,Sabaneta,CO05631,NA,NA,NA,Antioquia,CO05,Colombia,CO,1514764800000,1586995200000,NA
793,Saboyá,CO15632,Saboya,NA,NA,Boyacá,CO15,Colombia,CO,1514764800000,1586995200000,NA
794,Sácama,CO85315,Sacama,NA,NA,Casanare,CO85,Colombia,CO,1514764800000,1586995200000,NA
795,Sáchica,CO15638,Sachica,NA,NA,Boyacá,CO15,Colombia,CO,1514764800000,1586995200000,NA
796,Sahagún,CO23660,Sahagun,NA,NA,Córdoba,CO23,Colombia,CO,1514764800000,1586995200000,NA
797,Saladoblanco,CO41660,NA,NA,NA,Huila,CO41,Colombia,CO,1514764800000,1586995200000,NA
798,Salamina,CO17653,NA,NA,NA,Caldas,CO17,Colombia,CO,1514764800000,1586995200000,NA
799,Salamina,CO47675,NA,NA,NA,Magdalena,CO47,Colombia,CO,1514764800000,1586995200000,NA
800,Salazar,CO54660,NA,NA,NA,Norte de Santander,CO54,Colombia,CO,1514764800000,1586995200000,NA
801,Saldaña,CO73671,Saldana,NA,NA,Tolima,CO73,Colombia,CO,1514764800000,1586995200000,NA
802,Salento,CO63690,NA,NA,NA,Quindio,CO63,Colombia,CO,1514764800000,1586995200000,NA
803,Salgar,CO05642,NA,NA,NA,Antioquia,CO05,Colombia,CO,1514764800000,1586995200000,NA
804,Samacá,CO15646,Samaca,NA,NA,Boyacá,CO15,Colombia,CO,1514764800000,1586995200000,NA
805,Samaná,CO17662,Samana,NA,NA,Caldas,CO17,Colombia,CO,1514764800000,1586995200000,NA
806,Samaniego,CO52678,NA,NA,NA,Nariño,CO52,Colombia,CO,1514764800000,1586995200000,NA
807,Sampués,CO70670,Sampues,NA,NA,Sucre,CO70,Colombia,CO,1514764800000,1586995200000,NA
808,San Agustín,CO41668,San Agustin,NA,NA,Huila,CO41,Colombia,CO,1514764800000,1586995200000,NA
809,San Alberto,CO20710,NA,NA,NA,Cesar,CO20,Colombia,CO,1514764800000,1586995200000,NA
810,San Andrés,CO68669,San Andres,NA,NA,Santander,CO68,Colombia,CO,1514764800000,1586995200000,NA
811,San Andrés,CO88001,San Andres,NA,NA,"Archipiélago de San Andrés, Providencia y Santa Catalina",CO88,Colombia,CO,1514764800000,1586995200000,NA
812,San Andrés de Cuerquía,CO05647,San Andres de Cuerquia,NA,NA,Antioquia,CO05,Colombia,CO,1514764800000,1586995200000,NA
813,San Andrés de Sotavento,CO23670,San Andres de Sotavento,NA,NA,Córdoba,CO23,Colombia,CO,1514764800000,1586995200000,NA
814,San Andrés de Tumaco,CO52835,San Andres de Tumaco,NA,NA,Nariño,CO52,Colombia,CO,1514764800000,1586995200000,NA
815,San Antero,CO23672,NA,NA,NA,Córdoba,CO23,Colombia,CO,1514764800000,1586995200000,NA
816,San Antonio,CO73675,NA,NA,NA,Tolima,CO73,Colombia,CO,1514764800000,1586995200000,NA
817,San Antonio del Tequendama,CO25645,NA,NA,NA,Cundinamarca,CO25,Colombia,CO,1514764800000,1586995200000,NA
818,San Benito,CO68673,NA,NA,NA,Santander,CO68,Colombia,CO,1514764800000,1586995200000,NA
819,San Benito Abad,CO70678,NA,NA,NA,Sucre,CO70,Colombia,CO,1514764800000,1586995200000,NA
820,San Bernardo,CO25649,NA,NA,NA,Cundinamarca,CO25,Colombia,CO,1514764800000,1586995200000,NA
821,San Bernardo,CO52685,NA,NA,NA,Nariño,CO52,Colombia,CO,1514764800000,1586995200000,NA
822,San Bernardo del Viento,CO23675,NA,NA,NA,Córdoba,CO23,Colombia,CO,1514764800000,1586995200000,NA
823,San Calixto,CO54670,NA,NA,NA,Norte de Santander,CO54,Colombia,CO,1514764800000,1586995200000,NA
824,San Carlos,CO05649,NA,NA,NA,Antioquia,CO05,Colombia,CO,1514764800000,1586995200000,NA
825,San Carlos,CO23678,NA,NA,NA,Córdoba,CO23,Colombia,CO,1514764800000,1586995200000,NA
826,San Carlos de Guaroa,CO50680,NA,NA,NA,Meta,CO50,Colombia,CO,1514764800000,1586995200000,NA
827,San Cayetano,CO25653,NA,NA,NA,Cundinamarca,CO25,Colombia,CO,1514764800000,1586995200000,NA
828,San Cayetano,CO54673,NA,NA,NA,Norte de Santander,CO54,Colombia,CO,1514764800000,1586995200000,NA
829,San Cristóbal,CO13620,San Cristobal,NA,NA,Bolívar,CO13,Colombia,CO,1514764800000,1586995200000,NA
830,San Diego,CO20750,NA,NA,NA,Cesar,CO20,Colombia,CO,1514764800000,1586995200000,NA
831,San Eduardo,CO15660,NA,NA,NA,Boyacá,CO15,Colombia,CO,1514764800000,1586995200000,NA
832,San Estanislao,CO13647,NA,NA,NA,Bolívar,CO13,Colombia,CO,1514764800000,1586995200000,NA
833,San Felipe,CO94883,NA,NA,NA,Guainía,CO94,Colombia,CO,1514764800000,1586995200000,NA
834,San Fernando,CO13650,NA,NA,NA,Bolívar,CO13,Colombia,CO,1514764800000,1586995200000,NA
